Time,mCO21,mH2O1,mCO22,mH2O2,mCO23,mH2O3,mCO24,mH2O4
0,0,0,0,0,0,0,0,0
0.5,0.000823027,0.000673804,0,0,0,0,0,0
1,0.002469081,0.002021413,0,0,0,0,0,0
1.5,0.004115135,0.003369021,0,0,0,0,0,0
2,0.005761189,0.00471663,0,0,0,0,0,0
2.5,0.007407243,0.006064238,0,0,0,0,0,0
3,0.009053298,0.007411847,0,0,0,0,0,0
3.5,0.010699352,0.008759455,0,0,0,0,0,0
4,0.012345406,0.010107064,0,0,0,0,0,0
4.5,0.01399146,0.011454672,0,0,0,0,0,0
5,0.015637514,0.012802281,0,0,0,0,0,0
5.5,0.017283568,0.01414989,0,0,0,0,0,0
6,0.018106595,0.014823694,0,0,0,0,0,0
6.5,0.018106595,0.014823694,0,0,0,0,0,0
8.5,0.018106595,0.014823694,0,0,0,0,0,0
10.5,0.018106595,0.014823694,0,0,0,0,0,0
12.5,0.018106595,0.014823694,0,0,0,0,0,0
14.5,0.018106595,0.014823694,0,0,0,0,0,0
16.66666667,0.018106595,0.014823694,0,0,0,0,0,0
16.68333333,0.009053298,0.007411847,0.009053298,0.007411847,0,0,0,0
41.66666667,0.009053298,0.007411847,0.009053298,0.007411847,0,0,0,0
41.68333333,0.006035532,0.004941231,0.006035532,0.004941231,0.006035532,0.004941231,0,0
83.33333333,0.006035532,0.004941231,0.006035532,0.004941231,0.006035532,0.004941231,0,0
83.35,0.004526649,0.003705924,0.004526649,0.003705924,0.004526649,0.003705924,0.004526649,0.003705924
125,0.004526649,0.003705924,0.004526649,0.003705924,0.004526649,0.003705924,0.004526649,0.003705924
125.0166667,0,0,0,0,0,0,0,0
166.6666667,0,0,0,0,0,0,0,0
