Time,mCO2,mH2O
0,0,0
0.5,0.000823027,0.000673804
1,0.002469081,0.002021413
1.5,0.004115135,0.003369021
2,0.005761189,0.00471663
2.5,0.007407243,0.006064238
3,0.009053298,0.007411847
3.5,0.010699352,0.008759455
4,0.012345406,0.010107064
4.5,0.01399146,0.011454672
5,0.015637514,0.012802281
5.5,0.017283568,0.01414989
6,0.018106595,0.014823694
6.5,0.018106595,0.014823694
8.5,0.018106595,0.014823694
10.5,0.018106595,0.014823694
12.5,0.018106595,0.014823694
14.5,0.018106595,0.014823694
16.66666667,0.018106595,0.014823694
16.68333333,0.009053298,0.007411847
20,0.009053298,0.007411847
20.01666667,0.006035532,0.004941231
25,0.006035532,0.004941231
25.01666667,0.004526649,0.003705923
30,0.004526649,0.003705923
