Time1,TL,Tlreal,Time2,HRR,HRRreal
0,0.2,20,170,9.93015692,9930.15692
250,0.523128941,52.31289408,250,7.94999217,7949.99217
500,0.81121779,81.12177896,500,3.967571784,3967.571784
750,0.983828998,98.38289975,750,1.980080675,1980.080675
1000,1.074339026,107.4339026,1000,0.988191189,988.191189
1250,1.107919191,110.7919191,1250,0.493172747,493.1727472
1500,1.126485686,112.6485686,1500,0.246125812,246.1258118
1750,1.13871137,113.871137,1750,0.122833055,122.8330551
2000,1.144546559,114.4546559,2000,0.061301817,61.30181679
2250,1.148271444,114.8271444,2250,0.03059366,30.59366014
2500,1.150285953,115.0285953,2500,0.015268259,15.26825941
2750,1.151465231,115.1465231,2750,0.007619871,7.619871055
3000,1.152103369,115.2103369,3000,0.00380282,3.802819518
3250,1.152506517,115.2506517,3250,0.001897858,1.8978584
3500,1.152722336,115.2722336,3500,0.000947157,0.947156837
3750,1.152848107,115.2848107,3750,0.000472694,0.472693892
4000,1.152910315,115.2910315,4000,0.000235906,0.235905509
4250,1.152944632,115.2944632,4250,0.000117732,0.117732448
4500,1.152959839,115.2959839,4500,5.87563E-05,0.058756277
4750,1.152967076,115.2967076,4750,2.93233E-05,0.029323267
5000,1.15296925,115.296925,5000,1.46342E-05,0.014634249
