Time,CEILT_1,UWALLT_1,LWALLT_1,FLOORT_1,TARGGAST_1,TARGSURT_1,TARGCENT_1,TARGFLUXT_1,TARGFLUXC_1,TARGFLUXR_1,TARGFLUXF_1,TARGFLUXS_1,TARGFLUXG_1,TARGGAST_2,TARGSURT_2,TARGCENT_2,TARGFLUXT_2,TARGFLUXC_2,TARGFLUXR_2,TARGFLUXF_2,TARGFLUXS_2,TARGFLUXG_2,TARGGAST_3,TARGSURT_3,TARGCENT_3,TARGFLUXT_3,TARGFLUXC_3,TARGFLUXR_3,TARGFLUXF_3,TARGFLUXS_3,TARGFLUXG_3,
s,C,C,C,C,C,C,C,kW,kW,kW,kW,kW,kW,C,C,C,kW,kW,kW,kW,kW,kW,C,C,C,kW,kW,kW,kW,kW,kW,
0.000000E+00,0.200000E+02,0.200000E+02,0.200000E+02,0.200000E+02,0.200000E+02,0.200000E+02,0.200000E+02,0.113687E-15,0.000000E+00,0.113687E-15,0.000000E+00,0.355093E+00,0.636457E-01,0.200000E+02,0.200000E+02,0.200000E+02,-.568434E-16,0.000000E+00,-.568434E-16,0.000000E+00,0.340870E+00,0.778680E-01,0.200000E+02,0.200000E+02,0.200000E+02,-.568434E-16,0.000000E+00,-.568434E-16,0.000000E+00,0.340870E+00,0.778680E-01,
0.300000E+02,0.225511E+02,0.200991E+02,0.201351E+02,0.203972E+02,0.201118E+02,0.200266E+02,0.200000E+02,0.146266E-01,0.317909E-03,0.143087E-01,0.000000E+00,0.332470E+00,0.100577E+00,0.201118E+02,0.200022E+02,0.200022E+02,0.478825E-01,0.317909E-03,0.475646E-01,0.359494E-01,0.332167E+00,0.981861E-01,0.201118E+02,0.200298E+02,0.200298E+02,0.478825E-01,0.317909E-03,0.475646E-01,0.359494E-01,0.332167E+00,0.981861E-01,
0.600000E+02,0.269206E+02,0.203595E+02,0.204519E+02,0.211292E+02,0.334635E+02,0.201898E+02,0.200000E+02,0.846283E-01,0.466682E-01,0.379601E-01,0.000000E+00,0.344109E+00,0.112589E+00,0.205789E+02,0.200164E+02,0.200164E+02,0.173702E+00,0.162852E-02,0.172073E+00,0.143100E+00,0.327681E+00,0.120031E+00,0.205789E+02,0.202022E+02,0.202022E+02,0.173702E+00,0.162852E-02,0.172073E+00,0.143100E+00,0.327681E+00,0.120031E+00,
0.900000E+02,0.321596E+02,0.207589E+02,0.208301E+02,0.219080E+02,0.432460E+02,0.204615E+02,0.200000E+02,0.158266E+00,0.947712E-01,0.634953E-01,0.000000E+00,0.357575E+00,0.124659E+00,0.215111E+02,0.200551E+02,0.200551E+02,0.375429E+00,0.416429E-02,0.371264E+00,0.321184E+00,0.334205E+00,0.134614E+00,0.215111E+02,0.206405E+02,0.206405E+02,0.375429E+00,0.416429E-02,0.371264E+00,0.321184E+00,0.334205E+00,0.134614E+00,
0.120000E+03,0.381047E+02,0.212753E+02,0.212445E+02,0.227286E+02,0.538557E+02,0.208400E+02,0.200000E+02,0.247967E+00,0.153363E+00,0.946036E-01,0.000000E+00,0.369753E+00,0.143589E+00,0.229396E+02,0.201320E+02,0.201320E+02,0.655679E+00,0.787535E-02,0.647803E+00,0.572096E+00,0.349974E+00,0.144472E+00,0.229396E+02,0.214660E+02,0.214660E+02,0.655679E+00,0.787535E-02,0.647803E+00,0.572096E+00,0.349974E+00,0.144472E+00,
0.150000E+03,0.446092E+02,0.219047E+02,0.217022E+02,0.236152E+02,0.648406E+02,0.213249E+02,0.200000E+02,0.349093E+00,0.218609E+00,0.130484E+00,0.000000E+00,0.384018E+00,0.165204E+00,0.245022E+02,0.202585E+02,0.202585E+02,0.101469E+01,0.117769E-01,0.100291E+01,0.898177E+00,0.373274E+00,0.150199E+00,0.245022E+02,0.227988E+02,0.227988E+02,0.101469E+01,0.117769E-01,0.100291E+01,0.898177E+00,0.373274E+00,0.150199E+00,
0.180000E+03,0.513433E+02,0.226321E+02,0.221958E+02,0.245645E+02,0.757912E+02,0.219056E+02,0.200001E+02,0.456779E+00,0.286839E+00,0.169940E+00,0.000000E+00,0.399686E+00,0.188991E+00,0.259242E+02,0.204417E+02,0.204417E+02,0.144741E+01,0.161464E-01,0.143127E+01,0.129589E+01,0.392028E+00,0.162084E+00,0.259242E+02,0.247531E+02,0.247531E+02,0.144741E+01,0.161464E-01,0.143127E+01,0.129589E+01,0.392028E+00,0.162084E+00,
0.210000E+03,0.562428E+02,0.233254E+02,0.225460E+02,0.251967E+02,0.838929E+02,0.225188E+02,0.200003E+02,0.537999E+00,0.338799E+00,0.199200E+00,0.000000E+00,0.408331E+00,0.209607E+00,0.269879E+02,0.206893E+02,0.206893E+02,0.194101E+01,0.199544E-01,0.192106E+01,0.176633E+01,0.402528E+00,0.170940E+00,0.269879E+02,0.274253E+02,0.274253E+02,0.194101E+01,0.199544E-01,0.192106E+01,0.176633E+01,0.402528E+00,0.170940E+00,
0.240000E+03,0.589292E+02,0.238927E+02,0.227617E+02,0.255555E+02,0.874972E+02,0.230636E+02,0.200008E+02,0.575648E+00,0.362233E+00,0.213415E+00,0.000000E+00,0.413811E+00,0.218343E+00,0.273111E+02,0.209966E+02,0.209966E+02,0.249482E+01,0.211488E-01,0.247368E+01,0.231163E+01,0.411904E+00,0.168879E+00,0.273111E+02,0.308879E+02,0.308879E+02,0.249482E+01,0.211488E-01,0.247368E+01,0.231163E+01,0.411904E+00,0.168879E+00,
