"Dataplot Line Number","Verification Group","Case Name","Type of Metric","Expected Metric","Predicted Metric","Dependent Variable","Type of Error","Error","Error Tolerance","Within Specified Error Tolerance","Plot Filename"
12,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Window"
12,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Window"
12,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Window"
12,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Window"
12,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Window"
12,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Window"
12,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Window"
12,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Window"
13,"Mass","Mass_Balance","max",5,4.9683,"Temperature ($^\circ$C)","Relative Error","6.34e-03","1.00e-01","Yes","Verification/Temperature_Equilibrium_Elevation_Change"
13,"Mass","Mass_Balance","max",5,4.9574,"Temperature ($^\circ$C)","Relative Error","8.52e-03","1.00e-01","Yes","Verification/Temperature_Equilibrium_Elevation_Change"
13,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Elevation_Change"
13,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Elevation_Change"
13,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Elevation_Change"
13,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Elevation_Change"
13,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Elevation_Change"
13,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Elevation_Change"
13,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Elevation_Change"
13,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Elevation_Change"
14,"Mass","Mass_Balance","max",1e-12,0.49145,"Pressure (Pa)","Relative Error","4.91e+11","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Elevation"
14,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Elevation"
14,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Elevation"
14,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Elevation"
14,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Elevation"
14,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Elevation"
14,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Elevation"
14,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Elevation"
14,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Elevation"
14,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Elevation"
15,"Mass","Mass_Balance","max",5,4.919,"Temperature ($^\circ$C)","Relative Error","1.62e-02","1.00e-01","Yes","Verification/Temperature_Equilibrium_Compartment_Dimension_Change"
15,"Mass","Mass_Balance","max",5,4.8855,"Temperature ($^\circ$C)","Relative Error","2.29e-02","1.00e-01","Yes","Verification/Temperature_Equilibrium_Compartment_Dimension_Change"
15,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Compartment_Dimension_Change"
15,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Compartment_Dimension_Change"
15,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Compartment_Dimension_Change"
15,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Compartment_Dimension_Change"
15,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Compartment_Dimension_Change"
15,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Compartment_Dimension_Change"
15,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Compartment_Dimension_Change"
15,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Compartment_Dimension_Change"
16,"Mass","Mass_Balance","max",1e-12,0.49145,"Pressure (Pa)","Relative Error","4.91e+11","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Compartment"
16,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Compartment"
16,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Compartment"
16,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Compartment"
16,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Compartment"
16,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Compartment"
16,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Compartment"
16,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Compartment"
16,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Compartment"
16,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Compartment"
17,"Mass","Mass_Balance","max",5,4.9792,"Temperature ($^\circ$C)","Relative Error","4.16e-03","1.00e-01","Yes","Verification/Temperature_Equilibrium_Wind_Speed_Change"
17,"Mass","Mass_Balance","max",5,4.9695,"Temperature ($^\circ$C)","Relative Error","6.10e-03","1.00e-01","Yes","Verification/Temperature_Equilibrium_Wind_Speed_Change"
17,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Wind_Speed_Change"
17,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Wind_Speed_Change"
17,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Wind_Speed_Change"
17,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Wind_Speed_Change"
17,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Wind_Speed_Change"
17,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Wind_Speed_Change"
17,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Wind_Speed_Change"
17,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Wind_Speed_Change"
18,"Mass","Mass_Balance","max",1e-12,38.2054,"Pressure (Pa)","Relative Error","3.82e+13","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Wind"
18,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Wind"
18,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Wind"
18,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Wind"
18,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Wind"
18,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Wind"
18,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Wind"
18,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Wind"
18,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Wind"
18,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_Wind"
19,"Mass","Mass_Balance","max",1e-12,1e-12,"Pressure (Pa)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Pressure_Equilibrium"
19,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium"
19,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium"
19,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium"
19,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium"
19,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium"
19,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium"
19,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium"
19,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium"
19,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium"
20,"Mass","Mass_Balance","max",1e-12,1e-12,"Temperature ($^\circ$C)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Temperature_Change_Pressure_Equilibrium_Test"
20,"Mass","Mass_Balance","max",1e-12,1e-12,"Temperature ($^\circ$C)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Temperature_Change_Pressure_Equilibrium_Test"
20,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test"
20,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test"
20,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test"
20,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test"
20,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test"
20,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test"
20,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test"
20,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test"
21,"Mass","Mass_Balance","max",1e-12,1.4743e-15,"Pressure (Pa)","Relative Error","9.99e-01","1.00e-01","No","Verification/Pressure_Equilibrium_Ventilation"
21,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium_Ventilation"
21,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium_Ventilation"
21,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium_Ventilation"
21,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium_Ventilation"
21,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium_Ventilation"
21,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium_Ventilation"
21,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium_Ventilation"
21,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium_Ventilation"
21,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium_Ventilation"
22,"Mass","Mass_Balance","max",1e-12,1e-12,"Temperature ($^\circ$C)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Window"
