"Dataplot Line Number","Verification Group","Case Name","Type of Metric","Expected Metric","Predicted Metric","Dependent Variable","Type of Error","Error","Error Tolerance","Within Specified Error Tolerance","Plot Filename"
5,"Mass","Mass_Balance","max",1e-12,1e-12,"Temperature ($^\circ$C)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Ambient_Temperature"
5,"Mass","Mass_Balance","max",1e-12,1e-12,"Temperature ($^\circ$C)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Ambient_Temperature"
5,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Ambient_Temperature"
5,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Ambient_Temperature"
5,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Ambient_Temperature"
5,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Ambient_Temperature"
5,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Ambient_Temperature"
5,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Ambient_Temperature"
5,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Ambient_Temperature"
5,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Ambient_Temperature"
6,"Mass","Mass_Balance","max",1e-12,1e-12,"Pressure (Pa)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Ambient_Pressure"
6,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Ambient_Pressure"
6,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Ambient_Pressure"
6,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Ambient_Pressure"
6,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Ambient_Pressure"
6,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Ambient_Pressure"
6,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Ambient_Pressure"
6,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Ambient_Pressure"
6,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Ambient_Pressure"
6,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Ambient_Pressure"
7,"Mass","Mass_Balance","max",5,4.9706,"Temperature ($^\circ$C)","Relative Error","5.88e-03","1.00e-01","Yes","Verification/Temperature_Equilibrium_Test"
7,"Mass","Mass_Balance","max",5,4.9606,"Temperature ($^\circ$C)","Relative Error","7.88e-03","1.00e-01","Yes","Verification/Temperature_Equilibrium_Test"
7,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Test"
7,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Test"
7,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Test"
7,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Test"
7,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Test"
7,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Test"
7,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Test"
7,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Test"
8,"Mass","Mass_Balance","max",1714.16,1714.16,"Pressure (Pa)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Pressure_Change_Temperature_Equilibrium_Test"
8,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test"
8,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test"
8,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test"
8,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test"
8,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test"
8,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test"
8,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test"
8,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test"
8,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test"
9,"Mass","Mass_Balance","max",1e-12,1e-12,"Temperature ($^\circ$C)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Temperature_Equilibrium_Walls_Off"
9,"Mass","Mass_Balance","max",1e-12,1e-12,"Temperature ($^\circ$C)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Temperature_Equilibrium_Walls_Off"
9,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Walls_Off"
9,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Walls_Off"
9,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Walls_Off"
9,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Walls_Off"
9,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Walls_Off"
9,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Walls_Off"
9,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Walls_Off"
9,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Walls_Off"
10,"Mass","Mass_Balance","max",1e-12,1e-12,"Pressure (Pa)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Walls_Off"
10,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Walls_Off"
10,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Walls_Off"
10,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Walls_Off"
10,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Walls_Off"
10,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Walls_Off"
10,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Walls_Off"
10,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Walls_Off"
10,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Walls_Off"
10,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Walls_Off"
11,"Mass","Mass_Balance","max",5,4.9765,"Temperature ($^\circ$C)","Relative Error","4.70e-03","1.00e-01","Yes","Verification/Temperature_Equilibrium_Ventilation"
11,"Mass","Mass_Balance","max",5,4.9679,"Temperature ($^\circ$C)","Relative Error","6.42e-03","1.00e-01","Yes","Verification/Temperature_Equilibrium_Ventilation"
11,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Ventilation"
11,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Ventilation"
11,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Ventilation"
11,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Ventilation"
11,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Ventilation"
11,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Ventilation"
11,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Ventilation"
11,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Equilibrium_Ventilation"
12,"Mass","Mass_Balance","max",1e-12,0.49173,"Pressure (Pa)","Relative Error","4.92e+11","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Window"
12,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Change_Temperature_Equilibrium_Test_With_Window"
