Delta T,Depth,Height,Square Side Length,,alpha,f
5,0.5,2,0.4,,0.9534,0.7159
200,0.5,2,0.4,,0.8349,0.7102
300,0.5,2,0.4,,0.741,0.6629
5,0.75,2,0.4,,0.9823,0.3061
5,1.25,2,0.4,,0.9864,0.1062
5,0.5,3.75,0.4,,0.7461,0.6468
5,0.5,7,0.4,,0.9526,0.7115
5,0.5,2,1.2,,0.5875,4.1882
5,0.5,2,2,,0.3353,8.8897
200,0.75,3.75,1.2,,0.5405,2.0427
5,0.75,3.75,1.2,,0.7726,2.1866
300,0.75,3.75,1.2,,0.4528,1.867
200,0.5,3.75,1.2,,0.3349,3.7734
200,1.25,3.75,1.2,,0.7429,0.8155
200,0.75,2,1.2,,0.5913,1.9659
200,0.75,7,1.2,,0.5859,2.0325
200,0.75,3.75,0.4,,0.7487,0.2991
200,0.75,3.75,2,,0.3731,3.7168
300,1.25,7,2,,0.4627,1.3925
5,1.25,7,2,,0.869,1.8706
200,1.25,7,2,,0.5862,1.545
300,0.5,7,2,,0.2052,7.3568
300,0.75,7,2,,0.2812,3.3423
300,1.25,2,2,,0.5092,1.3419
300,1.25,3.75,2,,0.4774,1.4044
300,1.25,7,0.4,,0.9221,0.1082
300,1.25,7,1.2,,0.7017,0.7536
200,0.75,2,0.4,,0.9147,0.3083
300,0.75,2,0.4,,0.8499,0.2914
200,1.25,2,0.4,,0.9676,0.1089
300,1.25,2,0.4,,0.9547,0.1058
200,0.5,3.75,0.4,,0.5757,0.6151
300,0.5,3.75,0.4,,0.5195,0.5801
5,0.75,3.75,0.4,,0.8953,0.3085
300,0.75,3.75,0.4,,0.6685,0.2816
5,1.25,3.75,0.4,,0.9416,0.1084
200,1.25,3.75,0.4,,0.8471,0.1096
300,1.25,3.75,0.4,,0.8181,0.1057
200,0.5,7,0.4,,0.8265,0.7339
300,0.5,7,0.4,,0.6631,0.6696
5,0.75,7,0.4,,0.9823,0.3046
200,0.75,7,0.4,,0.8598,0.3092
300,0.75,7,0.4,,0.7209,0.2835
5,1.25,7,0.4,,0.9864,0.106
200,1.25,7,0.4,,0.9458,0.1113
200,0.5,2,1.2,,0.4113,4.0573
300,0.5,2,1.2,,0.3386,3.6913
5,0.75,2,1.2,,0.817,2.1331
300,0.75,2,1.2,,0.4942,1.7692
5,1.25,2,1.2,,0.9785,0.8465
200,1.25,2,1.2,,0.8602,0.8001
300,1.25,2,1.2,,0.7936,0.7466
5,0.5,3.75,1.2,,0.4347,3.5553
300,0.5,3.75,1.2,,0.2801,3.502
5,1.25,3.75,1.2,,0.945,0.8871
300,1.25,3.75,1.2,,0.6697,0.7616
5,0.5,7,1.2,,0.5841,4.095
200,0.5,7,1.2,,0.4242,4.3613
300,0.5,7,1.2,,0.337,4.0118
5,0.75,7,1.2,,0.8045,2.0855
300,0.75,7,1.2,,0.4605,1.8436
5,1.25,7,1.2,,0.9755,0.8532
200,1.25,7,1.2,,0.816,0.8202
200,0.5,2,2,,0.2479,7.5553
300,0.5,2,2,,0.1914,6.927
5,0.75,2,2,,0.5299,4.1548
200,0.75,2,2,,0.3651,3.5375
300,0.75,2,2,,0.2826,3.1567
5,1.25,2,2,,0.9226,1.8743
200,1.25,2,2,,0.6151,1.5082
5,0.5,3.75,2,,0.2474,7.6295
200,0.5,3.75,2,,0.2142,7.111
300,0.5,3.75,2,,0.1759,6.4754
5,0.75,3.75,2,,0.5029,4.1965
300,0.75,3.75,2,,0.3045,3.3448
5,1.25,3.75,2,,0.877,2.0059
200,1.25,3.75,2,,0.5672,1.5702
5,0.5,7,2,,0.317,8.4867
200,0.5,7,2,,0.2621,7.9237
5,0.75,7,2,,0.4951,3.9756
200,0.75,7,2,,0.369,3.6215
