Time,ULT,LLT,HGT,PRS,HRR
0.00,20.00,20.00,5.00,0.00,0.00
10.00,23.39,20.04,3.81,0.00,35129.60
20.00,27.44,20.17,2.82,-0.02,70259.10
30.00,32.85,20.49,2.24,-0.14,105388.00
40.00,39.73,21.28,1.93,-0.42,140515.00
50.00,48.07,22.86,1.78,-0.79,175638.00
60.00,57.84,25.32,1.72,-1.20,210755.00
70.00,68.88,28.53,1.71,-1.64,245865.00
80.00,80.98,32.25,1.73,-2.08,280968.00
90.00,93.85,36.29,1.76,-2.51,316063.00
100.00,107.17,40.51,1.78,-2.94,351151.00
110.00,120.46,44.88,1.80,-3.37,386232.00
120.00,133.47,49.43,1.80,-3.80,421305.00
130.00,146.10,54.20,1.80,-4.23,456370.00
140.00,158.34,59.18,1.79,-4.67,491425.00
150.00,170.25,64.37,1.78,-5.10,526472.00
160.00,181.86,69.77,1.76,-5.53,561508.00
170.00,193.21,75.16,1.74,-5.95,596538.00
180.00,204.34,80.41,1.72,-6.37,631561.00
190.00,215.28,85.67,1.69,-6.78,666576.00
200.00,226.07,90.98,1.66,-7.17,701584.00
210.00,236.39,96.33,1.64,-7.56,736583.00
220.00,246.63,101.74,1.61,-7.93,771574.00
230.00,256.81,107.24,1.59,-8.29,806556.00
240.00,266.91,112.78,1.56,-8.64,841529.00
250.00,276.90,118.34,1.54,-8.99,876494.00
260.00,286.76,123.90,1.52,-9.32,911451.00
270.00,296.46,129.40,1.49,-9.63,946401.00
280.00,306.06,134.15,1.46,-9.93,981358.00
290.00,315.55,138.25,1.43,-10.22,1016320.00
300.00,324.87,142.00,1.39,-10.50,1051290.00
310.00,332.29,144.99,1.37,-10.76,1051220.00
320.00,337.18,147.07,1.37,-10.91,1051180.00
330.00,340.52,148.62,1.37,-10.99,1051150.00
340.00,342.99,149.85,1.37,-11.05,1051120.00
350.00,345.00,150.89,1.37,-11.09,1051100.00
360.00,346.76,151.82,1.37,-11.13,1051080.00
370.00,348.38,152.67,1.37,-11.16,1051060.00
380.00,349.91,153.47,1.37,-11.20,1051040.00
390.00,351.37,154.23,1.37,-11.23,1051030.00
400.00,352.77,154.96,1.37,-11.26,1051010.00
410.00,354.12,155.66,1.37,-11.29,1051000.00
420.00,355.43,156.33,1.37,-11.31,1050980.00
430.00,356.69,156.98,1.37,-11.34,1050970.00
440.00,357.92,157.61,1.37,-11.37,1050950.00
450.00,359.11,158.22,1.37,-11.39,1050940.00
460.00,360.26,158.81,1.37,-11.42,1050930.00
470.00,361.39,159.39,1.37,-11.44,1050920.00
480.00,362.49,159.95,1.37,-11.46,1050900.00
490.00,363.55,160.50,1.37,-11.48,1050890.00
500.00,364.60,161.04,1.37,-11.50,1050880.00
510.00,365.61,161.56,1.37,-11.53,1050870.00
520.00,366.61,162.07,1.37,-11.55,1050860.00
530.00,367.58,162.58,1.37,-11.57,1050850.00
540.00,368.53,163.07,1.37,-11.58,1050840.00
550.00,369.46,163.55,1.37,-11.60,1050830.00
560.00,370.38,164.03,1.37,-11.62,1050820.00
570.00,371.27,164.49,1.37,-11.64,1050810.00
580.00,372.15,164.95,1.37,-11.66,1050800.00
590.00,373.01,165.40,1.37,-11.68,1050790.00
600.00,373.85,165.84,1.37,-11.69,1050780.00
610.00,373.21,165.67,1.38,-11.71,1015760.00
620.00,370.26,164.82,1.41,-11.63,980747.00
630.00,365.93,163.63,1.45,-11.50,945744.00
640.00,360.85,162.22,1.49,-11.34,910742.00
650.00,355.31,160.10,1.52,-11.18,875751.00
660.00,349.46,156.75,1.55,-10.99,840778.00
670.00,343.32,152.97,1.57,-10.79,805808.00
680.00,336.90,148.98,1.60,-10.58,770835.00
690.00,330.22,144.86,1.63,-10.36,735859.00
700.00,323.35,140.65,1.66,-10.12,700878.00
710.00,316.23,136.40,1.69,-9.88,665891.00
