Time,ULT,LLT,ULO2percent,LLCO2percent,ULO2,LLCO2,ULTS,LLTS
s,C,C,mol ,mol ,mol frac,mol frac,kg,kg
0,20,20,20.4802,0,0.204802,0,0.00,0.00
4.8,20,20,20.4802,0,0.204802,0,0.00,0.00
10.2,20,20,20.4802,0,0.204802,0,0.00,0.00
15,20,20,20.4802,0,0.204802,0,0.00,0.00
19.8,20,20,20.4802,0,0.204802,0,0.00,0.00
25.2,20,20,20.4802,0,0.204802,0,0.00,0.00
30,20,20,20.4802,0,0.204802,0,0.00,0.00
34.8,21.8684,20.0104,20.4591,0,0.204591,0,0.00,0.00
40.2,23.3474,20.0335,20.4427,4.40E-06,0.204427,0.000000044,0.00,0.00
45,24.9857,20.0694,20.4244,1.55E-05,0.204244,0.000000155,0.00,0.00
49.8,26.8031,20.1187,20.4028,3.22E-05,0.204028,0.000000322,0.00,0.00
55.2,28.8008,20.1826,20.3788,5.50E-05,0.203788,0.00000055,0.00,0.00
60,30.9805,20.2616,20.3521,8.40E-05,0.203521,0.00000084,0.00,0.00
64.8,33.3352,20.3566,20.3223,0.000118585,0.203223,1.19E-06,0.00,0.00
70.2,36.3516,20.4792,20.2839,0.000137776,0.202839,1.38E-06,0.00,0.00
75,40.4225,20.6436,20.2325,0.000137687,0.202325,1.38E-06,0.00,0.00
79.8,45.4411,20.8604,20.1687,0.000137687,0.201687,1.38E-06,0.00,0.00
85.2,51.1949,21.133,20.0942,0.000137687,0.200942,1.38E-06,0.00,0.00
90,57.5726,21.4643,20.0099,0.000137687,0.200099,1.38E-06,0.00,0.00
94.8,64.561,21.8687,19.915,0.000137687,0.19915,1.38E-06,0.00,0.00
100.2,72.162,22.3623,19.8092,0.000137687,0.198092,1.38E-06,0.00,0.00
105,80.7081,22.9802,19.6881,0.000137687,0.196881,1.38E-06,0.00,0.00
109.8,90.3871,23.7471,19.5487,0.000137687,0.195487,1.38E-06,0.00,0.00
115.2,101.134,24.6406,19.3898,0.000137687,0.193898,1.38E-06,0.00,0.00
120,112.956,25.6516,19.209,0.000137687,0.19209,1.38E-06,0.00,0.00
124.8,125.949,26.8295,19.0023,0.000137687,0.190023,1.38E-06,0.00,0.00
130.2,140.375,28.276,18.7602,0.000137687,0.187602,1.38E-06,0.00,0.00
135,156.682,29.8928,18.4688,0.000137687,0.184688,1.38E-06,0.00,0.00
139.8,173.897,31.7283,18.1377,0.000137687,0.181377,1.38E-06,0.00,0.00
145.2,191.934,33.8179,17.7625,0.000137687,0.177625,1.38E-06,0.00,0.00
150,210.27,36.1848,17.3405,0.000137687,0.173405,1.38E-06,0.00,0.00
154.8,228.339,38.8624,16.8699,0.000137687,0.168699,1.38E-06,0.00,0.00
160.2,245.49,41.8938,16.349,0.000137687,0.16349,1.38E-06,0.00,0.00
165,261.4,45.3032,15.7767,0.000137687,0.157767,1.38E-06,0.00,0.00
169.8,275.813,49.0987,15.1529,0.000137687,0.151529,1.38E-06,0.00,0.00
175.2,289.166,53.3088,14.4713,0.000137687,0.144713,1.38E-06,0.00,0.00
180,301.762,57.936,13.7257,0.000137687,0.137257,1.38E-06,0.00,0.00
184.8,313.442,62.9642,12.9149,0.000137687,0.129149,1.38E-06,0.00,0.00
190.2,324.292,68.3659,12.0386,0.000137687,0.120386,1.38E-06,0.00,0.00
195,334.321,74.1145,11.096,0.000137687,0.11096,1.38E-06,0.00,0.00
199.8,290.048,68.6458,10.8814,0.00287778,0.108814,2.88E-05,0.00,0.00
205.2,254.231,64.4247,10.8278,0.00715601,0.108278,7.16E-05,0.00,0.00
210,230.929,62.422,10.7456,0.0111941,0.107456,0.000111941,0.00,0.00
214.8,229.107,64.0625,10.4722,0.0125971,0.104722,0.000125971,0.00,0.00
220.2,229.281,65.5282,10.1707,0.012365,0.101707,0.00012365,0.01,0.00
225,229.603,66.8643,9.86544,0.0121314,0.0986544,0.000121314,0.01,0.00
229.8,229.905,68.0944,9.55811,0.0119015,0.0955811,0.000119015,0.01,0.00
235.2,230.204,69.2368,9.24929,0.011676,0.0924929,0.00011676,0.01,0.00
240,230.451,70.2956,8.94084,0.0114535,0.0894084,0.000114535,0.01,0.00
244.8,230.568,71.2628,8.63824,0.0112308,0.0863824,0.000112308,0.01,0.00
250.2,230.631,72.156,8.34179,0.0110098,0.0834179,0.000110098,0.01,0.00
255,230.66,72.9848,8.05143,0.0107912,0.0805143,0.000107912,0.01,0.00
259.8,230.669,73.7574,7.76708,0.0105752,0.0776708,0.000105752,0.01,0.00
265.2,230.668,74.4807,7.48862,0.0103624,0.0748862,0.000103624,0.01,0.00
270,230.666,75.1611,7.21582,0.0101527,0.0721582,0.000101527,0.01,0.00
274.8,230.67,75.8037,6.94863,0.00994643,0.0694863,9.95E-05,0.01,0.00
280.2,230.684,76.4135,6.6869,0.00974376,0.066869,9.74E-05,0.01,0.00
285,230.711,76.9946,6.43048,0.00954472,0.0643048,9.54E-05,0.01,0.00
289.8,230.754,77.5505,6.17923,0.00934937,0.0617923,9.35E-05,0.01,0.00
295.2,230.814,78.0845,5.93294,0.00915765,0.0593294,9.16E-05,0.01,0.00
300,230.893,78.5993,5.69153,0.00896964,0.0569153,8.97E-05,0.01,0.00
304.8,230.99,79.0973,5.45488,0.00878534,0.0545488,8.79E-05,0.01,0.00
310.2,231.106,79.581,5.22277,0.00860463,0.0522277,8.60E-05,0.01,0.00
315,231.24,80.0524,4.99496,0.00842733,0.0499496,8.43E-05,0.01,0.00
319.8,231.391,80.5129,4.77141,0.00825347,0.0477141,8.25E-05,0.01,0.00
325.2,231.559,80.9637,4.55202,0.00808305,0.0455202,8.08E-05,0.01,0.00
330,231.743,81.4064,4.33656,0.00791588,0.0433656,7.92E-05,0.01,0.00
334.8,231.942,81.842,4.12504,0.00775202,0.0412504,7.75E-05,0.01,0.00
340.2,232.156,82.2714,3.91734,0.00759141,0.0391734,7.59E-05,0.01,0.00
345,232.383,82.6953,3.71337,0.007434,0.0371337,0.00007434,0.02,0.00
349.8,232.623,83.1146,3.51303,0.00727973,0.0351303,7.28E-05,0.02,0.00
355.2,232.875,83.5297,3.31623,0.00712853,0.0331623,7.13E-05,0.02,0.00
360,233.138,83.9413,3.12287,0.00698033,0.0312287,6.98E-05,0.02,0.00
364.8,233.411,84.3497,2.93288,0.0068351,0.0293288,0.000068351,0.02,0.00
370.2,233.694,84.7554,2.74617,0.00669275,0.0274617,6.69E-05,0.02,0.00
375,233.985,85.1587,2.56267,0.00655324,0.0256267,6.55E-05,0.02,0.00
379.8,234.285,85.5598,2.3823,0.00641651,0.023823,6.42E-05,0.02,0.00
385.2,234.592,85.9591,2.20499,0.0062825,0.0220499,0.000062825,0.02,0.00
390,234.907,86.3567,2.03067,0.00615116,0.0203067,6.15E-05,0.02,0.00
394.8,235.228,86.7527,1.85927,0.00602243,0.0185927,6.02E-05,0.02,0.00
400.2,235.552,87.1474,1.69083,0.00589637,0.0169083,5.90E-05,0.02,0.00
405,235.883,87.5413,1.52523,0.00577288,0.0152523,5.77E-05,0.02,0.00
409.8,236.219,87.934,1.36228,0.00565176,0.0136228,5.65E-05,0.02,0.00
415.2,236.559,88.3255,1.20206,0.0055331,0.0120206,0.000055331,0.02,0.00
420,236.904,88.7159,1.04448,0.00541683,0.0104448,5.42E-05,0.02,0.00
424.8,237.253,89.1052,0.889465,0.00530287,0.00889465,5.30E-05,0.02,0.00
430.2,237.606,89.4936,0.736962,0.00519117,0.00736962,5.19E-05,0.02,0.00
435,237.962,89.881,0.58692,0.0050817,0.0058692,0.000050817,0.02,0.00
439.8,238.32,90.2674,0.439289,0.0049744,0.00439289,0.000049744,0.02,0.00
445.2,238.681,90.653,0.294001,0.00486921,0.00294001,4.87E-05,0.02,0.00
450,239.045,91.0376,0.150988,0.00476607,0.00150988,4.77E-05,0.02,0.00
454.8,239.41,91.4214,0.0102752,0.00466502,0.000102752,4.67E-05,0.02,0.00
460.2,239.78,91.8042,0,0.00456611,0,4.57E-05,0.02,0.00
465,240.153,92.1856,0,0.00446925,0,4.47E-05,0.02,0.00
469.8,240.529,92.5656,0,0.00437433,0,4.37E-05,0.02,0.00
475.2,240.907,92.9443,0,0.00428133,0,4.28E-05,0.02,0.00
480,241.288,93.3217,0,0.0041902,0,0.000041902,0.02,0.00
484.8,241.67,93.6979,0,0.0041009,0,0.000041009,0.02,0.00
490.2,242.053,94.073,0,0.0040134,0,0.000040134,0.02,0.00
495,242.438,94.4469,0,0.00392767,0,3.93E-05,0.02,0.00
499.8,242.824,94.8198,0,0.00384367,0,3.84E-05,0.02,0.00
505.2,243.21,95.1916,0,0.00376137,0,3.76E-05,0.02,0.00
510,243.597,95.5624,0,0.00368073,0,3.68E-05,0.02,0.00
514.8,243.984,95.9322,0,0.00360173,0,3.60E-05,0.02,0.00
520.2,244.371,96.3009,0,0.00352433,0,3.52E-05,0.02,0.00
525,244.759,96.6687,0,0.0034485,0,0.000034485,0.02,0.00
529.8,245.146,97.0355,0,0.00337421,0,3.37E-05,0.02,0.00
535.2,245.532,97.4013,0,0.00330143,0,3.30E-05,0.03,0.00
540,245.919,97.7661,0,0.00323014,0,3.23E-05,0.03,0.00
544.8,246.305,98.1298,0,0.0031603,0,0.000031603,0.03,0.00
550.2,246.69,98.4926,0,0.00309189,0,3.09E-05,0.03,0.00
555,247.075,98.8544,0,0.00302487,0,3.02E-05,0.03,0.00
559.8,247.459,99.2151,0,0.00295923,0,2.96E-05,0.03,0.00
565.2,247.842,99.5748,0,0.00289494,0,2.89E-05,0.03,0.00
570,248.225,99.9335,0,0.00283197,0,2.83E-05,0.03,0.00
574.8,248.606,100.291,0,0.0027703,0,0.000027703,0.03,0.00
580.2,248.986,100.648,0,0.00270989,0,2.71E-05,0.03,0.00
585,249.366,101.003,0,0.00265073,0,2.65E-05,0.03,0.00
589.8,249.744,101.358,0,0.0025928,0,0.000025928,0.03,0.00
595.2,250.121,101.711,0,0.00253606,0,2.54E-05,0.03,0.00
600,250.497,102.063,0,0.0024805,0,0.000024805,0.03,0.00
604.8,250.872,102.414,0,0.0024261,0,0.000024261,0.03,0.00
610.2,251.245,102.764,0,0.00237282,0,2.37E-05,0.03,0.00
615,251.617,103.113,0,0.00232066,0,2.32E-05,0.03,0.00
619.8,251.988,103.461,0,0.00226958,0,2.27E-05,0.03,0.00
625.2,252.358,103.808,0,0.00221957,0,2.22E-05,0.03,0.00
630,252.726,104.153,0,0.0021706,0,0.000021706,0.03,0.00
634.8,253.092,104.498,0,0.00212266,0,2.12E-05,0.03,0.00
640.2,253.457,104.841,0,0.00207573,0,2.08E-05,0.03,0.00
645,253.821,105.183,0,0.00202979,0,2.03E-05,0.03,0.00
649.8,254.184,105.524,0,0.00198481,0,1.98E-05,0.03,0.00
655.2,254.544,105.864,0,0.00194078,0,1.94E-05,0.03,0.00
660,254.904,106.202,0,0.00189767,0,1.90E-05,0.03,0.00
664.8,255.261,106.54,0,0.00185548,0,1.86E-05,0.03,0.00
670.2,255.618,106.876,0,0.00181419,0,1.81E-05,0.03,0.00
675,255.972,107.211,0,0.00177377,0,1.77E-05,0.03,0.00
679.8,256.325,107.545,0,0.0017342,0,0.000017342,0.03,0.00
685.2,256.677,107.877,0,0.00169548,0,1.70E-05,0.03,0.00
690,257.027,108.209,0,0.00165759,0,1.66E-05,0.03,0.00
694.8,257.375,108.539,0,0.0016205,0,0.000016205,0.03,0.00
700.2,257.722,108.868,0,0.0015842,0,0.000015842,0.03,0.00
705,258.067,109.196,0,0.00154868,0,1.55E-05,0.03,0.00
709.8,258.41,109.523,0,0.00151392,0,1.51E-05,0.03,0.00
715.2,258.752,109.848,0,0.00147991,0,1.48E-05,0.03,0.00
720,259.092,110.172,0,0.00144663,0,1.45E-05,0.03,0.00
724.8,259.431,110.495,0,0.00141406,0,1.41E-05,0.03,0.00
730.2,259.768,110.817,0,0.0013822,0,0.000013822,0.03,0.00
735,260.103,111.138,0,0.00135102,0,1.35E-05,0.03,0.00
