Time,ULT,LLT,HGT
1220.00,79.17,36.11,5.00
1230.00,78.54,35.95,5.00
1240.00,77.92,35.80,5.00
1250.00,77.31,35.65,5.00
1260.00,76.71,35.50,5.00
1270.00,76.12,35.35,5.00
1280.00,75.54,35.20,5.00
1290.00,74.97,35.05,5.00
1300.00,74.40,34.87,5.00
1310.00,73.85,34.70,5.00
1320.00,73.30,34.54,5.00
1330.00,72.75,34.38,5.00
1340.00,72.22,34.22,5.00
1350.00,71.69,34.08,5.00
1360.00,71.17,33.93,5.00
1370.00,70.66,33.79,5.00
1380.00,70.15,33.65,5.00
1390.00,69.65,33.52,5.00
1400.00,69.15,33.39,5.00
1410.00,68.66,33.26,5.00
1420.00,68.18,33.13,5.00
1430.00,67.70,33.01,5.00
1440.00,67.23,32.89,5.00
1450.00,66.76,32.77,5.00
1460.00,66.30,32.65,5.00
1470.00,65.85,32.53,5.00
1480.00,65.40,32.41,5.00
1490.00,64.95,32.30,5.00
1500.00,64.51,32.19,5.00
1510.00,64.08,32.08,5.00
1520.00,63.65,31.97,5.00
1530.00,63.23,31.86,5.00
1540.00,62.81,31.75,5.00
1550.00,62.39,31.65,5.00
1560.00,61.98,31.54,5.00
1570.00,61.58,31.44,5.00
1580.00,61.18,31.34,5.00
1590.00,60.78,31.24,5.00
1600.00,60.39,31.14,5.00
1610.00,60.00,31.04,5.00
1620.00,59.62,30.94,5.00
1630.00,59.24,30.85,5.00
1640.00,58.86,30.75,5.00
1650.00,58.49,30.66,5.00
1660.00,58.12,30.57,5.00
1670.00,57.76,30.47,5.00
1680.00,57.40,30.38,5.00
1690.00,57.05,30.29,5.00
1700.00,56.70,30.20,5.00
1710.00,56.35,30.11,5.00
1720.00,56.01,30.03,5.00
1730.00,55.67,29.94,5.00
1740.00,55.33,29.86,5.00
1750.00,55.00,29.77,5.00
1760.00,54.67,29.69,5.00
1770.00,54.34,29.61,5.00
1780.00,54.02,29.52,5.00
1790.00,53.70,29.44,5.00
1800.00,53.39,29.36,5.00
1810.00,53.08,29.28,5.00
1820.00,52.77,29.20,5.00
1830.00,52.47,29.13,5.00
1840.00,52.16,29.05,5.00
1850.00,51.86,28.97,5.00
1860.00,51.57,28.90,5.00
1870.00,51.28,28.82,5.00
1880.00,50.99,28.75,5.00
1890.00,50.70,28.68,5.00
1900.00,50.42,28.60,5.00
1910.00,50.14,28.53,5.00
1920.00,49.86,28.46,5.00
1930.00,49.59,28.39,5.00
1940.00,49.32,28.32,5.00
1950.00,49.05,28.25,5.00
1960.00,48.78,28.18,5.00
1970.00,48.52,28.12,5.00
1980.00,48.26,28.05,5.00
1990.00,48.00,27.98,5.00
2000.00,47.75,27.92,5.00
