Time,ULT,LLT,HGT
0.00,20.00,20.00,5.00
10.00,23.40,20.03,3.82
20.00,27.47,20.17,2.92
30.00,32.90,20.53,2.46
40.00,39.71,21.27,2.24
50.00,47.75,22.45,2.17
60.00,56.74,23.94,2.18
70.00,66.29,25.57,2.21
80.00,75.97,27.18,2.25
90.00,85.46,28.71,2.29
100.00,94.57,30.13,2.32
110.00,103.24,31.46,2.34
120.00,111.51,32.71,2.36
130.00,119.46,33.93,2.37
140.00,127.15,35.12,2.38
150.00,134.64,36.30,2.38
160.00,141.99,37.49,2.39
170.00,149.24,38.70,2.39
180.00,156.41,39.92,2.39
190.00,163.51,41.16,2.39
200.00,170.52,42.43,2.39
210.00,177.03,43.74,2.38
220.00,182.95,45.20,2.36
230.00,188.77,46.77,2.34
240.00,194.66,48.38,2.31
250.00,200.67,50.07,2.27
260.00,206.76,51.84,2.24
270.00,212.90,53.65,2.21
280.00,219.08,55.51,2.18
290.00,225.27,57.41,2.16
300.00,231.36,59.32,2.13
310.00,236.30,61.04,2.12
320.00,239.39,62.20,2.12
330.00,241.33,62.95,2.12
340.00,242.64,63.45,2.12
350.00,243.62,63.82,2.12
360.00,244.42,64.11,2.12
370.00,245.12,64.37,2.12
380.00,245.75,64.60,2.12
390.00,246.34,64.81,2.12
400.00,246.90,65.01,2.12
410.00,247.43,65.21,2.12
420.00,247.93,65.39,2.12
430.00,248.42,65.57,2.12
440.00,248.88,65.74,2.12
450.00,249.33,65.90,2.12
460.00,249.77,66.06,2.12
470.00,250.19,66.21,2.12
480.00,250.59,66.36,2.12
490.00,250.99,66.51,2.12
500.00,251.37,66.65,2.12
510.00,251.75,66.79,2.12
520.00,252.11,66.92,2.12
530.00,252.47,67.05,2.12
540.00,252.81,67.18,2.12
550.00,253.15,67.31,2.12
560.00,253.49,67.43,2.12
570.00,253.81,67.55,2.12
580.00,254.13,67.67,2.12
590.00,254.44,67.78,2.12
600.00,254.74,67.90,2.12
610.00,253.89,67.77,2.14
620.00,251.16,67.11,2.17
630.00,247.29,66.08,2.20
640.00,242.80,64.85,2.23
650.00,237.99,63.50,2.26
660.00,232.97,62.10,2.29
670.00,227.82,60.68,2.33
680.00,222.62,59.24,2.36
690.00,217.30,57.80,2.40
700.00,211.41,56.39,2.43
710.00,204.42,55.14,2.45
720.00,197.52,54.09,2.46
730.00,191.40,53.15,2.48
740.00,186.04,52.15,2.51
750.00,181.21,51.05,2.55
760.00,176.79,49.79,2.59
770.00,172.73,48.41,2.65
780.00,168.94,46.94,2.71
790.00,165.39,45.47,2.77
800.00,162.02,44.01,2.85
810.00,158.81,42.60,2.93
820.00,155.74,41.28,3.02
830.00,152.77,40.07,3.12
840.00,149.89,39.00,3.23
850.00,147.08,38.08,3.35
860.00,144.32,37.32,3.48
870.00,141.59,36.77,3.63
880.00,138.84,36.48,3.81
890.00,136.05,36.38,4.00
900.00,133.13,36.45,4.22
910.00,129.99,36.70,4.41
920.00,126.67,37.05,4.54
930.00,123.27,37.41,4.64
940.00,119.80,37.74,4.72
950.00,116.37,38.03,4.77
960.00,113.12,38.28,4.82
970.00,110.07,38.47,4.85
980.00,107.23,38.61,4.88
990.00,104.65,38.70,4.90
1000.00,102.30,38.76,4.92
1010.00,100.15,38.77,4.93
1020.00,98.21,38.76,4.95
1030.00,96.49,38.72,4.96
1040.00,94.92,38.65,4.96
1050.00,93.50,38.57,4.97
1060.00,92.22,38.47,4.97
1070.00,91.06,38.36,4.98
1080.00,89.99,38.23,4.98
1090.00,89.00,38.10,4.99
1100.00,88.07,37.96,4.99
1110.00,87.18,37.82,4.99
1120.00,86.34,37.67,4.99
1130.00,85.52,37.52,4.99
1140.00,84.73,37.36,4.99
1150.00,83.97,37.20,4.99
1160.00,83.24,37.05,5.00
1170.00,82.52,36.89,5.00
1180.00,81.82,36.73,5.00
1190.00,81.13,36.57,5.00
1200.00,80.47,36.42,5.00
1210.00,79.81,36.26,5.00
