Time,ULT,LLT,HGT
0,20,20,5
10,23.4,20,3.81
20,27.4,20.2,2.82
30,32.9,20.5,2.24
40,39.7,21.3,1.93
50,48.1,22.9,1.78
60,57.8,25.3,1.72
70,68.9,28.5,1.71
80,81,32.3,1.73
90,93.8,36.3,1.76
100,107,40.5,1.78
110,120,44.9,1.8
120,133,49.4,1.8
130,146,54.2,1.8
140,158,59.2,1.79
150,170,64.4,1.78
160,182,69.8,1.76
170,193,75.2,1.74
180,204,80.4,1.72
190,215,85.7,1.69
200,226,91,1.66
210,236,96.3,1.64
220,247,102,1.61
230,257,107,1.59
240,267,113,1.56
250,277,118,1.54
260,287,124,1.52
270,296,129,1.49
280,306,134,1.46
290,316,138,1.43
300,325,142,1.39
310,332,145,1.37
320,337,147,1.37
330,341,149,1.37
340,343,150,1.37
350,345,151,1.37
360,347,152,1.37
370,348,153,1.37
380,350,153,1.37
390,351,154,1.37
400,353,155,1.37
410,354,156,1.37
420,355,156,1.37
430,357,157,1.37
440,358,158,1.37
450,359,158,1.37
460,360,159,1.37
470,361,159,1.37
480,362,160,1.37
490,364,160,1.37
500,365,161,1.37
510,366,162,1.37
520,367,162,1.37
530,368,163,1.37
540,369,163,1.37
550,369,164,1.37
560,370,164,1.37
570,371,164,1.37
580,372,165,1.37
590,373,165,1.37
600,374,166,1.37
610,373,166,1.38
620,370,165,1.41
630,366,164,1.45
640,361,162,1.49
650,355,160,1.52
660,349,157,1.55
670,343,153,1.57
680,337,149,1.6
690,330,145,1.63
700,323,141,1.66
710,316,136,1.69
720,309,132,1.72
730,301,128,1.75
740,294,123,1.79
750,286,119,1.82
760,278,115,1.86
770,270,110,1.9
780,261,106,1.94
790,252,102,1.98
800,243,97.6,2.02
810,236,93.4,2.09
820,229,89,2.18
830,223,84.4,2.28
840,217,79.9,2.41
850,212,75.6,2.54
860,207,71.6,2.68
870,203,68.6,2.82
880,198,66.6,2.97
890,194,65.2,3.11
900,190,64,3.26
910,186,63.2,3.38
920,183,62.5,3.44
930,179,61.8,3.47
940,176,61.2,3.49
950,173,60.5,3.5
960,170,59.8,3.51
970,167,59.1,3.52
980,165,58.5,3.53
990,162,57.8,3.54
1000,160,57.2,3.55
1010,158,56.6,3.55
1020,156,56,3.56
1030,154,55.5,3.57
1040,152,54.9,3.58
1050,150,54.4,3.58
1060,148,53.9,3.59
1070,147,53.4,3.59
1080,145,52.9,3.6
1090,143,52.4,3.6
1100,142,52,3.61
1110,140,51.6,3.61
1120,139,51.2,3.62
1130,137,50.8,3.62
1140,136,50.5,3.63
1150,135,50.1,3.63
1160,133,49.8,3.64
1170,132,49.5,3.64
1180,131,49.1,3.65
1190,130,48.8,3.65
1200,129,48.5,3.65
1210,127,48.3,3.66
1220,126,48,3.66
1230,125,47.7,3.67
1240,124,47.4,3.67
1250,123,47.2,3.67
1260,122,46.9,3.68
1270,121,46.6,3.68
1280,120,46.4,3.68
1290,119,46.1,3.69
1300,118,45.9,3.69
1310,117,45.7,3.69
1320,116,45.4,3.7
1330,115,45.2,3.7
1340,114,45,3.7
1350,113,44.7,3.71
1360,112,44.5,3.71
1370,111,44.3,3.71
1380,110,44.1,3.71
1390,110,43.9,3.72
1400,109,43.7,3.72
1410,108,43.4,3.72
1420,107,43.2,3.73
1430,106,43,3.73
1440,105,42.8,3.73
1450,105,42.6,3.73
1460,104,42.4,3.74
1470,103,42.2,3.74
1480,102,42.1,3.74
1490,102,41.9,3.74
1500,101,41.7,3.75
1510,100,41.5,3.75
1520,99.3,41.3,3.75
1530,98.5,41.1,3.75
1540,97.8,40.9,3.76
1550,97.1,40.8,3.76
1560,96.4,40.6,3.76
1570,95.7,40.4,3.76
1580,95,40.2,3.77
1590,94.3,40.1,3.77
1600,93.7,39.9,3.77
1610,93,39.7,3.77
1620,92.4,39.6,3.77
1630,91.7,39.4,3.78
1640,91.1,39.2,3.78
1650,90.4,39.1,3.78
1660,89.8,38.9,3.78
1670,89.2,38.8,3.79
1680,88.6,38.6,3.79
1690,88,38.4,3.79
1700,87.4,38.3,3.79
1710,86.8,38.1,3.79
1720,86.2,38,3.8
1730,85.6,37.8,3.8
1740,85,37.7,3.8
1750,84.4,37.6,3.8
1760,83.9,37.4,3.8
1770,83.3,37.3,3.81
1780,82.8,37.1,3.81
1790,82.2,37,3.81
1800,81.7,36.8,3.81
1810,81.1,36.7,3.81
1820,80.6,36.6,3.81
1830,80.1,36.4,3.82
1840,79.5,36.3,3.82
1850,79,36.2,3.82
1860,78.5,36,3.82
1870,78,35.9,3.82
1880,77.5,35.8,3.82
1890,77,35.7,3.83
1900,76.5,35.5,3.83
1910,76,35.4,3.83
1920,75.6,35.3,3.83
1930,75.1,35.2,3.83
1940,74.6,35,3.83
1950,74.1,34.9,3.84
1960,73.7,34.8,3.84
1970,73.2,34.7,3.84
1980,72.8,34.6,3.84
1990,72.3,34.5,3.84
2000,71.9,34.3,3.84
