Time,ULT,LLT,HGT
0.00,20.00,20.00,5.00
10.00,23.40,20.00,3.82
20.00,27.50,20.20,2.92
30.00,32.90,20.50,2.46
40.00,39.70,21.30,2.24
50.00,47.70,22.50,2.17
60.00,56.70,23.90,2.18
70.00,66.30,25.60,2.21
80.00,76.00,27.20,2.25
90.00,85.50,28.70,2.29
100.00,94.60,30.10,2.32
110.00,103.00,31.50,2.34
120.00,112.00,32.70,2.36
130.00,119.00,33.90,2.37
140.00,127.00,35.10,2.38
150.00,135.00,36.30,2.38
160.00,142.00,37.50,2.39
170.00,149.00,38.70,2.39
180.00,156.00,39.90,2.39
190.00,164.00,41.20,2.39
200.00,171.00,42.40,2.39
210.00,177.00,43.70,2.38
220.00,183.00,45.20,2.36
230.00,189.00,46.80,2.34
240.00,195.00,48.40,2.31
250.00,201.00,50.10,2.27
260.00,207.00,51.80,2.24
270.00,213.00,53.70,2.21
280.00,219.00,55.50,2.18
290.00,225.00,57.40,2.16
300.00,231.00,59.30,2.13
310.00,236.00,61.00,2.12
320.00,239.00,62.20,2.12
330.00,241.00,63.00,2.12
340.00,243.00,63.50,2.12
350.00,244.00,63.80,2.12
360.00,244.00,64.10,2.12
370.00,245.00,64.40,2.12
380.00,246.00,64.60,2.12
390.00,246.00,64.80,2.12
400.00,247.00,65.00,2.12
410.00,247.00,65.20,2.12
420.00,248.00,65.40,2.12
430.00,248.00,65.60,2.12
440.00,249.00,65.70,2.12
450.00,249.00,65.90,2.12
460.00,250.00,66.10,2.12
470.00,250.00,66.20,2.12
480.00,251.00,66.40,2.12
490.00,251.00,66.50,2.12
500.00,251.00,66.60,2.12
510.00,252.00,66.80,2.12
520.00,252.00,66.90,2.12
530.00,252.00,67.10,2.12
540.00,253.00,67.20,2.12
550.00,253.00,67.30,2.12
560.00,253.00,67.40,2.12
570.00,254.00,67.50,2.12
580.00,254.00,67.70,2.12
590.00,254.00,67.80,2.12
600.00,255.00,67.90,2.12
610.00,254.00,67.80,2.14
620.00,251.00,67.10,2.17
630.00,247.00,66.10,2.20
640.00,243.00,64.80,2.23
650.00,238.00,63.50,2.26
660.00,233.00,62.10,2.29
670.00,228.00,60.70,2.33
680.00,223.00,59.20,2.36
690.00,217.00,57.80,2.40
700.00,211.00,56.40,2.43
710.00,204.00,55.10,2.45
720.00,198.00,54.10,2.46
730.00,191.00,53.10,2.48
740.00,186.00,52.20,2.51
750.00,181.00,51.10,2.55
760.00,177.00,49.80,2.59
770.00,173.00,48.40,2.65
780.00,169.00,46.90,2.71
790.00,165.00,45.50,2.77
800.00,162.00,44.00,2.85
810.00,159.00,42.60,2.93
820.00,156.00,41.30,3.02
830.00,153.00,40.10,3.12
840.00,150.00,39.00,3.23
850.00,147.00,38.10,3.35
860.00,144.00,37.30,3.48
870.00,142.00,36.80,3.63
880.00,139.00,36.50,3.81
890.00,136.00,36.40,4.00
900.00,133.00,36.40,4.22
910.00,130.00,36.70,4.41
920.00,127.00,37.00,4.54
930.00,123.00,37.40,4.64
940.00,120.00,37.70,4.72
950.00,116.00,38.00,4.77
960.00,113.00,38.30,4.82
970.00,110.00,38.50,4.85
980.00,107.00,38.60,4.88
990.00,105.00,38.70,4.90
1000.00,102.00,38.80,4.92
1010.00,100.00,38.80,4.93
1020.00,98.20,38.80,4.95
1030.00,96.50,38.70,4.96
1040.00,94.90,38.70,4.96
1050.00,93.50,38.60,4.97
1060.00,92.20,38.50,4.97
1070.00,91.10,38.40,4.98
1080.00,90.00,38.20,4.98
1090.00,89.00,38.10,4.99
1100.00,88.10,38.00,4.99
1110.00,87.20,37.80,4.99
1120.00,86.30,37.70,4.99
1130.00,85.50,37.50,4.99
1140.00,84.70,37.40,4.99
1150.00,84.00,37.20,4.99
1160.00,83.20,37.00,5.00
1170.00,82.50,36.90,5.00
1180.00,81.80,36.70,5.00
1190.00,81.10,36.60,5.00
1200.00,80.50,36.40,5.00
1210.00,79.80,36.30,5.00
1220.00,79.20,36.10,5.00
1230.00,78.50,36.00,5.00
1240.00,77.90,35.80,5.00
1250.00,77.30,35.60,5.00
1260.00,76.70,35.50,5.00
1270.00,76.10,35.40,5.00
1280.00,75.50,35.20,5.00
1290.00,75.00,35.00,5.00
1300.00,74.40,34.90,5.00
1310.00,73.80,34.70,5.00
1320.00,73.30,34.50,5.00
1330.00,72.80,34.40,5.00
1340.00,72.20,34.20,5.00
1350.00,71.70,34.10,5.00
1360.00,71.20,33.90,5.00
1370.00,70.70,33.80,5.00
1380.00,70.10,33.70,5.00
1390.00,69.60,33.50,5.00
1400.00,69.20,33.40,5.00
1410.00,68.70,33.30,5.00
1420.00,68.20,33.10,5.00
1430.00,67.70,33.00,5.00
1440.00,67.20,32.90,5.00
1450.00,66.80,32.80,5.00
1460.00,66.30,32.60,5.00
1470.00,65.80,32.50,5.00
1480.00,65.40,32.40,5.00
1490.00,65.00,32.30,5.00
1500.00,64.50,32.20,5.00
1510.00,64.10,32.10,5.00
1520.00,63.70,32.00,5.00
1530.00,63.20,31.90,5.00
1540.00,62.80,31.80,5.00
1550.00,62.40,31.60,5.00
1560.00,62.00,31.50,5.00
1570.00,61.60,31.40,5.00
1580.00,61.20,31.30,5.00
1590.00,60.80,31.20,5.00
1600.00,60.40,31.10,5.00
1610.00,60.00,31.00,5.00
1620.00,59.60,30.90,5.00
1630.00,59.20,30.80,5.00
1640.00,58.90,30.80,5.00
1650.00,58.50,30.70,5.00
1660.00,58.10,30.60,5.00
1670.00,57.80,30.50,5.00
1680.00,57.40,30.40,5.00
1690.00,57.00,30.30,5.00
1700.00,56.70,30.20,5.00
1710.00,56.30,30.10,5.00
1720.00,56.00,30.00,5.00
1730.00,55.70,29.90,5.00
1740.00,55.30,29.90,5.00
1750.00,55.00,29.80,5.00
1760.00,54.70,29.70,5.00
1770.00,54.30,29.60,5.00
1780.00,54.00,29.50,5.00
1790.00,53.70,29.40,5.00
1800.00,53.40,29.40,5.00
1810.00,53.10,29.30,5.00
1820.00,52.80,29.20,5.00
1830.00,52.50,29.10,5.00
1840.00,52.20,29.00,5.00
1850.00,51.90,29.00,5.00
1860.00,51.60,28.90,5.00
1870.00,51.30,28.80,5.00
1880.00,51.00,28.70,5.00
1890.00,50.70,28.70,5.00
1900.00,50.40,28.60,5.00
1910.00,50.10,28.50,5.00
1920.00,49.90,28.50,5.00
1930.00,49.60,28.40,5.00
1940.00,49.30,28.30,5.00
1950.00,49.00,28.30,5.00
1960.00,48.80,28.20,5.00
1970.00,48.50,28.10,5.00
1980.00,48.30,28.10,5.00
1990.00,48.00,28.00,5.00
2000.00,47.70,27.90,5.00
