Time,rod temp,plate temp,thin plate temp
0.00E+00,2.00E+01,2.00E+01,2.00E+01
3.00E+01,5.05E+01,3.65E+01,2.37E+02
6.01E+01,7.96E+01,5.13E+01,3.84E+02
9.01E+01,1.07E+02,6.56E+01,4.55E+02
1.20E+02,1.35E+02,8.01E+01,4.84E+02
1.50E+02,1.61E+02,9.40E+01,4.94E+02
1.80E+02,1.86E+02,1.08E+02,4.98E+02
2.40E+02,2.33E+02,1.35E+02,5.00E+02
3.00E+02,2.76E+02,1.61E+02,5.00E+02
3.60E+02,3.14E+02,1.86E+02,5.00E+02
4.20E+02,3.47E+02,2.10E+02,5.00E+02
4.80E+02,3.76E+02,2.33E+02,5.00E+02
5.40E+02,4.00E+02,2.55E+02,5.00E+02
6.00E+02,4.20E+02,2.76E+02,5.00E+02
6.60E+02,4.36E+02,2.96E+02,5.00E+02
7.20E+02,4.49E+02,3.14E+02,5.00E+02
7.80E+02,4.60E+02,3.31E+02,5.00E+02
8.40E+02,4.69E+02,3.47E+02,5.00E+02
9.00E+02,4.76E+02,3.62E+02,5.00E+02
9.60E+02,4.81E+02,3.76E+02,5.00E+02
1.02E+03,4.85E+02,3.88E+02,5.00E+02
1.08E+03,4.88E+02,4.00E+02,5.00E+02
1.14E+03,4.91E+02,4.10E+02,5.00E+02
1.20E+03,4.93E+02,4.20E+02,5.00E+02
1.26E+03,4.95E+02,4.28E+02,5.00E+02
1.32E+03,4.96E+02,4.36E+02,5.00E+02
1.38E+03,4.97E+02,4.43E+02,5.00E+02
1.44E+03,4.97E+02,4.50E+02,5.00E+02
1.50E+03,4.98E+02,4.55E+02,5.00E+02
1.56E+03,4.98E+02,4.60E+02,5.00E+02
1.62E+03,4.99E+02,4.65E+02,5.00E+02
1.68E+03,4.99E+02,4.69E+02,5.00E+02
1.74E+03,4.99E+02,4.72E+02,5.00E+02
1.80E+03,4.99E+02,4.76E+02,5.00E+02
1.86E+03,5.00E+02,4.78E+02,5.00E+02
1.92E+03,5.00E+02,4.81E+02,5.00E+02
1.98E+03,5.00E+02,4.83E+02,5.00E+02
2.04E+03,5.00E+02,4.85E+02,5.00E+02
2.10E+03,5.00E+02,4.87E+02,5.00E+02
2.16E+03,5.00E+02,4.88E+02,5.00E+02
2.22E+03,5.00E+02,4.90E+02,5.00E+02
2.28E+03,5.00E+02,4.91E+02,5.00E+02
2.34E+03,5.00E+02,4.92E+02,5.00E+02
2.40E+03,5.00E+02,4.93E+02,5.00E+02
2.46E+03,5.00E+02,4.94E+02,5.00E+02
2.52E+03,5.00E+02,4.94E+02,5.00E+02
2.58E+03,5.00E+02,4.95E+02,5.00E+02
2.64E+03,5.00E+02,4.96E+02,5.00E+02
2.70E+03,5.00E+02,4.96E+02,5.00E+02
2.76E+03,5.00E+02,4.97E+02,5.00E+02
2.82E+03,5.00E+02,4.97E+02,5.00E+02
2.88E+03,5.00E+02,4.97E+02,5.00E+02
2.94E+03,5.00E+02,4.98E+02,5.00E+02
3.00E+03,5.00E+02,4.98E+02,5.00E+02
3.06E+03,5.00E+02,4.98E+02,5.00E+02
3.12E+03,5.00E+02,4.98E+02,5.00E+02
3.18E+03,5.00E+02,4.99E+02,5.00E+02
3.24E+03,5.00E+02,4.99E+02,5.00E+02
3.30E+03,5.00E+02,4.99E+02,5.00E+02
3.36E+03,5.00E+02,4.99E+02,5.00E+02
3.42E+03,5.00E+02,4.99E+02,5.00E+02
3.48E+03,5.00E+02,4.99E+02,5.00E+02
3.54E+03,5.00E+02,4.99E+02,5.00E+02
3.60E+03,5.00E+02,4.99E+02,5.00E+02
