s,C,C,m,Pa,1/m,1/m,kW,m,m,m^2,kW,m,m,m^2,m^2,
Time,ULT_1,LLT_1,HGT_1,PRS_1,ULOD_1,LLOD_1,HRR_1,FLHGT_1,FBASE_1,FAREA_1,HRR_2,FLHGT_2,FBASE_2,FAREA_2,HVENT_1,
0.000000E+00,0.200000E+02,0.200000E+02,0.459954E+01,0.195259E-14,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.100000E-02,0.100000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.240000E+01,
0.100000E+02,0.218990E+02,0.200104E+02,0.403910E+01,-.121460E-03,0.149729E-02,0.000000E+00,0.166649E+02,0.360123E+00,0.475000E-02,0.100000E+00,0.124402E+01,0.134372E+00,0.000000E+00,0.112500E-01,0.240000E+01,
0.200000E+02,0.235515E+02,0.200455E+02,0.338986E+01,-.669811E-03,0.277180E-02,0.000000E+00,0.333298E+02,0.591473E+00,0.850000E-02,0.100000E+00,0.248806E+01,0.165744E+00,0.000000E+00,0.225000E-01,0.240000E+01,
0.300000E+02,0.255117E+02,0.201118E+02,0.283676E+01,-.184810E-02,0.428122E-02,0.000000E+00,0.499947E+02,0.759705E+00,0.122500E-01,0.100000E+00,0.373209E+01,0.186526E+00,0.000000E+00,0.337500E-01,0.240000E+01,
0.400000E+02,0.278101E+02,0.202174E+02,0.238055E+01,-.401032E-02,0.606100E-02,0.000000E+00,0.666594E+02,0.896741E+00,0.160000E-01,0.100000E+00,0.497612E+01,0.202350E+00,0.000000E+00,0.450000E-01,0.240000E+01,
0.500000E+02,0.304580E+02,0.203710E+02,0.201414E+01,-.109994E-01,0.812262E-02,0.000000E+00,0.833240E+02,0.101444E+01,0.197500E-01,0.100000E+00,0.622013E+01,0.215218E+00,0.000000E+00,0.562500E-01,0.240000E+01,
0.600000E+02,0.334635E+02,0.205789E+02,0.173437E+01,-.253499E-01,0.104573E-01,0.000000E+00,0.999884E+02,0.111872E+01,0.235000E-01,0.100000E+00,0.746411E+01,0.226096E+00,0.000000E+00,0.675000E-01,0.240000E+01,
0.700000E+02,0.366593E+02,0.208318E+02,0.153007E+01,-.487706E-01,0.130879E-01,0.000000E+00,0.108320E+03,0.116696E+01,0.272500E-01,0.100000E+00,0.870806E+01,0.235533E+00,0.000000E+00,0.787500E-01,0.240000E+01,
0.800000E+02,0.399076E+02,0.211381E+02,0.138745E+01,-.892609E-01,0.160262E-01,0.260916E-04,0.116652E+03,0.121301E+01,0.310000E-01,0.100000E+00,0.995195E+01,0.243873E+00,0.000000E+00,0.900000E-01,0.240000E+01,
