Time,ULT_1,LLT_1,HGT_1,VOL_1,PRS_1,ATARG_1,FTARG_1,PLUM_1,PYROL_1,HRR_1,FLHGT_1,HRR_C_1,PYROL_T_1,TRACE_T_1,PLUM_2,PYROL_2,HRR_2,FLHGT_2,HRR_C_2,PYROL_T_2,TRACE_T_2,
s,C,C,m,m^3,Pa,W/m^2,W/m^2,kg/s,kg/s,W,m,W,kg,kg,kg/s,kg/s,W,m,W,kg,kg,
0.000000E+00,0.200000E+02,0.200000E+02,0.459954E+01,0.209300E-01,0.195259E-14,-.568434E-13,-.568434E-13,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,
0.300000E+02,0.255117E+02,0.201118E+02,0.283676E+01,0.802273E+02,-.184810E-02,0.615141E+02,0.581051E+02,0.215614E+01,0.100000E-02,0.499947E+05,0.759705E+00,0.334964E+05,0.153035E-01,0.000000E+00,0.457783E+00,0.206250E-03,0.373209E+04,0.186526E+00,0.250050E+04,0.315635E-02,0.000000E+00,
0.600000E+02,0.334635E+02,0.205789E+02,0.173437E+01,0.130386E+03,-.253499E-01,0.200036E+03,0.190338E+03,0.100326E+01,0.200000E-02,0.999884E+05,0.111872E+01,0.669922E+05,0.607654E-01,0.000000E+00,0.383944E+00,0.412500E-03,0.746411E+04,0.226096E+00,0.500095E+04,0.125329E-01,0.000000E+00,
0.900000E+02,0.432460E+02,0.215111E+02,0.129158E+01,0.150533E+03,-.141192E+00,0.407664E+03,0.391358E+03,0.605484E+00,0.250000E-02,0.124983E+06,0.125713E+01,0.837387E+05,0.128439E+00,0.000000E+00,0.321165E+00,0.618750E-03,0.111958E+05,0.251346E+00,0.750117E+04,0.280733E-01,0.000000E+00,
0.120000E+03,0.538557E+02,0.229396E+02,0.117256E+01,0.155949E+03,-.300687E+00,0.693295E+03,0.670203E+03,0.567900E+00,0.300000E-02,0.149975E+06,0.137976E+01,0.100484E+06,0.211134E+00,0.000000E+00,0.279833E+00,0.825000E-03,0.149268E+05,0.269989E+00,0.100009E+05,0.498099E-01,0.000000E+00,
0.150000E+03,0.648406E+02,0.245022E+02,0.115109E+01,0.156925E+03,-.438199E+00,0.105745E+04,0.102708E+04,0.615982E+00,0.350000E-02,0.174966E+06,0.149063E+01,0.117227E+06,0.308846E+00,0.000000E+00,0.279313E+00,0.103125E-02,0.186571E+05,0.284741E+00,0.125003E+05,0.777412E-01,0.000000E+00,
0.180000E+03,0.757912E+02,0.259242E+02,0.115948E+01,0.156544E+03,-.547274E+00,0.149499E+04,0.145585E+04,0.675050E+00,0.400000E-02,0.199955E+06,0.159236E+01,0.133970E+06,0.421585E+00,0.000000E+00,0.290464E+00,0.123750E-02,0.223872E+05,0.296905E+00,0.149994E+05,0.111871E+00,0.000000E+00,
0.210000E+03,0.838929E+02,0.269879E+02,0.120687E+01,0.154387E+03,-.631970E+00,0.198282E+04,0.193718E+04,0.643058E+00,0.350000E-02,0.174957E+06,0.149060E+01,0.117221E+06,0.533867E+00,0.000000E+00,0.305302E+00,0.144375E-02,0.261172E+05,0.307216E+00,0.174986E+05,0.152180E+00,0.000000E+00,
0.240000E+03,0.874972E+02,0.273111E+02,0.127527E+01,0.151275E+03,-.627359E+00,0.253301E+04,0.248391E+04,0.617712E+00,0.300000E-02,0.149962E+06,0.137969E+01,0.100475E+06,0.631136E+00,0.000000E+00,0.329985E+00,0.165000E-02,0.298482E+05,0.316138E+00,0.199983E+05,0.198681E+00,0.000000E+00,
