Time,ULT_1,LLT_1,HGT_1,VOL_1,PRS_1,ATARG_1,FTARG_1,PLUM_1,PYROL_1,HRR_1,FLHGT_1,HRR_C_1,PYROL_T_1,TRACE_T_1,PLUM_2,PYROL_2,HRR_2,FLHGT_2,HRR_C_2,PYROL_T_2,TRACE_T_2,
0.270000E+03,0.881554E+02,0.271659E+02,0.131109E+01,0.149645E+03,-.600978E+00,0.315439E+04,0.310308E+04,0.637465E+00,0.275000E-02,0.137466E+06,0.132005E+01,0.921020E+05,0.717273E+00,0.000000E+00,0.366376E+00,0.185625E-02,0.335801E+05,0.323971E+00,0.224987E+05,0.251368E+00,0.000000E+00,
0.300000E+03,0.872895E+02,0.269419E+02,0.131687E+01,0.149383E+03,-.589736E+00,0.384519E+04,0.379221E+04,0.628145E+00,0.250000E-02,0.124969E+06,0.125706E+01,0.837295E+05,0.795911E+00,0.000000E+00,0.395794E+00,0.206250E-02,0.373123E+05,0.330920E+00,0.249993E+05,0.310242E+00,0.000000E+00,
0.330000E+03,0.857845E+02,0.267210E+02,0.132019E+01,0.149232E+03,-.576911E+00,0.460829E+04,0.455407E+04,0.615263E+00,0.225000E-02,0.112473E+06,0.119017E+01,0.753569E+05,0.867045E+00,0.000000E+00,0.399989E+00,0.226875E-02,0.410448E+05,0.337140E+00,0.275000E+05,0.375306E+00,0.000000E+00,
0.360000E+03,0.839255E+02,0.265035E+02,0.132382E+01,0.149066E+03,-.561625E+00,0.544147E+04,0.538637E+04,0.601098E+00,0.200000E-02,0.999764E+05,0.111865E+01,0.669842E+05,0.930676E+00,0.000000E+00,0.403585E+00,0.247500E-02,0.447774E+05,0.342747E+00,0.300009E+05,0.446560E+00,0.000000E+00,
0.390000E+03,0.822552E+02,0.262723E+02,0.132365E+01,0.149074E+03,-.542847E+00,0.635759E+04,0.630143E+04,0.593538E+00,0.190000E-02,0.949780E+05,0.108854E+01,0.636353E+05,0.989133E+00,0.000000E+00,0.404016E+00,0.268125E-02,0.485103E+05,0.347834E+00,0.325019E+05,0.523994E+00,0.000000E+00,
0.420000E+03,0.810903E+02,0.260977E+02,0.132195E+01,0.149151E+03,-.530866E+00,0.734096E+04,0.728353E+04,0.584396E+00,0.180000E-02,0.899795E+05,0.105747E+01,0.602863E+05,0.104458E+01,0.000000E+00,0.402791E+00,0.288750E-02,0.522433E+05,0.352470E+00,0.350030E+05,0.607625E+00,0.000000E+00,
0.450000E+03,0.802536E+02,0.259795E+02,0.132148E+01,0.149172E+03,-.522263E+00,0.839783E+04,0.833906E+04,0.575987E+00,0.170000E-02,0.849809E+05,0.102534E+01,0.569372E+05,0.109704E+01,0.000000E+00,0.401797E+00,0.309375E-02,0.559763E+05,0.356713E+00,0.375041E+05,0.697444E+00,0.000000E+00,
0.480000E+03,0.796204E+02,0.258960E+02,0.132238E+01,0.149132E+03,-.515253E+00,0.952793E+04,0.946779E+04,0.568331E+00,0.160000E-02,0.799821E+05,0.992055E+00,0.535880E+05,0.114649E+01,0.000000E+00,0.401201E+00,0.330000E-02,0.597093E+05,0.360612E+00,0.400052E+05,0.793451E+00,0.000000E+00,
0.510000E+03,0.792519E+02,0.258380E+02,0.132300E+01,0.149104E+03,-.508706E+00,0.107323E+05,0.106706E+05,0.564478E+00,0.155000E-02,0.774828E+05,0.974944E+00,0.519135E+05,0.119371E+01,0.000000E+00,0.399973E+00,0.350625E-02,0.634424E+05,0.364204E+00,0.425064E+05,0.895637E+00,0.000000E+00,
0.540000E+03,0.791824E+02,0.258522E+02,0.132388E+01,0.149064E+03,-.506523E+00,0.119934E+05,0.119301E+05,0.560722E+00,0.150000E-02,0.749833E+05,0.957497E+00,0.502388E+05,0.123944E+01,0.000000E+00,0.398526E+00,0.371250E-02,0.671754E+05,0.367522E+00,0.450075E+05,0.100402E+01,0.000000E+00,
0.570000E+03,0.794520E+02,0.258886E+02,0.132434E+01,0.149042E+03,-.505479E+00,0.133438E+05,0.132786E+05,0.561095E+00,0.150000E-02,0.749832E+05,0.957497E+00,0.502388E+05,0.128444E+01,0.000000E+00,0.396442E+00,0.391875E-02,0.709084E+05,0.370595E+00,0.475087E+05,0.111858E+01,0.000000E+00,
0.600000E+03,0.800708E+02,0.259391E+02,0.132503E+01,0.149011E+03,-.507089E+00,0.147676E+05,0.147002E+05,0.561653E+00,0.150000E-02,0.749832E+05,0.957497E+00,0.502387E+05,0.132944E+01,0.000000E+00,0.394190E+00,0.412500E-02,0.746415E+05,0.373447E+00,0.500098E+05,0.123934E+01,0.000000E+00,
0.630000E+03,0.809184E+02,0.260045E+02,0.132675E+01,0.148933E+03,-.509895E+00,0.162646E+05,0.161948E+05,0.563029E+00,0.150000E-02,0.749831E+05,0.957496E+00,0.502387E+05,0.137444E+01,0.000000E+00,0.392338E+00,0.433125E-02,0.783746E+05,0.376098E+00,0.525110E+05,0.136628E+01,0.000000E+00,
0.660000E+03,0.819111E+02,0.260807E+02,0.132930E+01,0.148817E+03,-.513299E+00,0.178345E+05,0.177624E+05,0.565087E+00,0.150000E-02,0.749830E+05,0.957495E+00,0.502386E+05,0.141944E+01,0.000000E+00,0.390802E+00,0.453750E-02,0.821078E+05,0.378566E+00,0.550122E+05,0.149942E+01,0.000000E+00,
0.690000E+03,0.829958E+02,0.261641E+02,0.133243E+01,0.148674E+03,-.517004E+00,0.194772E+05,0.194027E+05,0.567615E+00,0.150000E-02,0.749828E+05,0.957494E+00,0.502385E+05,0.146444E+01,0.000000E+00,0.389427E+00,0.474375E-02,0.858410E+05,0.380866E+00,0.575135E+05,0.163874E+01,0.000000E+00,
0.720000E+03,0.841380E+02,0.262521E+02,0.133594E+01,0.148515E+03,-.520846E+00,0.211928E+05,0.211157E+05,0.570446E+00,0.150000E-02,0.749827E+05,0.957493E+00,0.502384E+05,0.150944E+01,0.000000E+00,0.388091E+00,0.495000E-02,0.895743E+05,0.383013E+00,0.600148E+05,0.178425E+01,0.000000E+00,
0.750000E+03,0.853162E+02,0.263429E+02,0.133966E+01,0.148345E+03,-.524725E+00,0.229812E+05,0.229015E+05,0.573469E+00,0.150000E-02,0.749826E+05,0.957492E+00,0.502383E+05,0.155444E+01,0.000000E+00,0.386715E+00,0.515625E-02,0.933077E+05,0.385019E+00,0.625162E+05,0.193594E+01,0.000000E+00,
0.780000E+03,0.865045E+02,0.264357E+02,0.134300E+01,0.148194E+03,-.528983E+00,0.248422E+05,0.247599E+05,0.576179E+00,0.150000E-02,0.749824E+05,0.957491E+00,0.502382E+05,0.159944E+01,0.000000E+00,0.389509E+00,0.536250E-02,0.970412E+05,0.386893E+00,0.650176E+05,0.209382E+01,0.000000E+00,
0.810000E+03,0.876505E+02,0.265367E+02,0.134421E+01,0.148138E+03,-.535055E+00,0.267755E+05,0.266905E+05,0.577165E+00,0.150000E-02,0.749823E+05,0.957490E+00,0.502381E+05,0.164444E+01,0.000000E+00,0.395510E+00,0.556875E-02,0.100775E+06,0.388646E+00,0.675190E+05,0.225790E+01,0.000000E+00,
0.840000E+03,0.887764E+02,0.266484E+02,0.134466E+01,0.148118E+03,-.542034E+00,0.274656E+05,0.273778E+05,0.577535E+00,0.150000E-02,0.749821E+05,0.957489E+00,0.502380E+05,0.168944E+01,0.000000E+00,0.400950E+00,0.577500E-02,0.104508E+06,0.390286E+00,0.700205E+05,0.242815E+01,0.000000E+00,
0.870000E+03,0.898947E+02,0.267681E+02,0.134497E+01,0.148104E+03,-.549372E+00,0.265280E+05,0.264375E+05,0.577782E+00,0.150000E-02,0.749819E+05,0.957488E+00,0.502379E+05,0.173444E+01,0.000000E+00,0.406040E+00,0.598125E-02,0.108242E+06,0.391820E+00,0.725219E+05,0.260460E+01,0.000000E+00,
0.900000E+03,0.910098E+02,0.269039E+02,0.134531E+01,0.148088E+03,-.557147E+00,0.256431E+05,0.255497E+05,0.578062E+00,0.150000E-02,0.749817E+05,0.957486E+00,0.502377E+05,0.177944E+01,0.000000E+00,0.410855E+00,0.618750E-02,0.111975E+06,0.393256E+00,0.750234E+05,0.278723E+01,0.000000E+00,
0.930000E+03,0.921251E+02,0.270477E+02,0.134574E+01,0.148069E+03,-.565210E+00,0.248238E+05,0.247275E+05,0.578410E+00,0.150000E-02,0.749815E+05,0.957485E+00,0.502376E+05,0.182444E+01,0.000000E+00,0.415419E+00,0.639375E-02,0.115709E+06,0.394600E+00,0.775249E+05,0.297604E+01,0.000000E+00,
0.960000E+03,0.932405E+02,0.271867E+02,0.134624E+01,0.148046E+03,-.572979E+00,0.240557E+05,0.239565E+05,0.578817E+00,0.150000E-02,0.749813E+05,0.957483E+00,0.502375E+05,0.186944E+01,0.000000E+00,0.419740E+00,0.660000E-02,0.119442E+06,0.395857E+00,0.800264E+05,0.317105E+01,0.000000E+00,
0.990000E+03,0.943550E+02,0.273230E+02,0.134681E+01,0.148020E+03,-.580531E+00,0.233341E+05,0.232320E+05,0.579282E+00,0.150000E-02,0.749811E+05,0.957482E+00,0.502373E+05,0.191444E+01,0.000000E+00,0.423824E+00,0.680625E-02,0.123176E+06,0.397034E+00,0.825280E+05,0.337224E+01,0.000000E+00,
0.102000E+04,0.954682E+02,0.274576E+02,0.134745E+01,0.147991E+03,-.587906E+00,0.226550E+05,0.225500E+05,0.579804E+00,0.150000E-02,0.749809E+05,0.957480E+00,0.502372E+05,0.195944E+01,0.000000E+00,0.427678E+00,0.701250E-02,0.126910E+06,0.398135E+00,0.850297E+05,0.357962E+01,0.000000E+00,
0.105000E+04,0.965801E+02,0.275911E+02,0.134816E+01,0.147959E+03,-.595127E+00,0.220149E+05,0.219068E+05,0.580380E+00,0.150000E-02,0.749807E+05,0.957479E+00,0.502370E+05,0.200444E+01,0.000000E+00,0.431310E+00,0.721875E-02,0.130644E+06,0.399163E+00,0.875314E+05,0.379319E+01,0.000000E+00,
0.108000E+04,0.976907E+02,0.277236E+02,0.134893E+01,0.147924E+03,-.602202E+00,0.214104E+05,0.212993E+05,0.581008E+00,0.150000E-02,0.749805E+05,0.957477E+00,0.502369E+05,0.204944E+01,0.000000E+00,0.434725E+00,0.742500E-02,0.134378E+06,0.400124E+00,0.900331E+05,0.401294E+01,0.000000E+00,
0.111000E+04,0.988001E+02,0.278552E+02,0.134976E+01,0.147886E+03,-.609136E+00,0.208388E+05,0.207247E+05,0.581686E+00,0.150000E-02,0.749803E+05,0.957476E+00,0.502368E+05,0.209444E+01,0.000000E+00,0.437928E+00,0.763125E-02,0.138112E+06,0.401021E+00,0.925349E+05,0.423889E+01,0.000000E+00,
0.114000E+04,0.999084E+02,0.279859E+02,0.135065E+01,0.147846E+03,-.615931E+00,0.202975E+05,0.201803E+05,0.582412E+00,0.150000E-02,0.749801E+05,0.957475E+00,0.502366E+05,0.213944E+01,0.000000E+00,0.440926E+00,0.783750E-02,0.141846E+06,0.401857E+00,0.950368E+05,0.447102E+01,0.000000E+00,
0.117000E+04,0.101016E+03,0.281166E+02,0.135159E+01,0.147803E+03,-.622609E+00,0.197842E+05,0.196637E+05,0.583187E+00,0.150000E-02,0.749799E+05,0.957473E+00,0.502365E+05,0.218444E+01,0.000000E+00,0.443723E+00,0.804375E-02,0.145580E+06,0.402635E+00,0.975387E+05,0.470933E+01,0.000000E+00,
0.120000E+04,0.102122E+03,0.282484E+02,0.135260E+01,0.147757E+03,-.629227E+00,0.192968E+05,0.191729E+05,0.584009E+00,0.150000E-02,0.749797E+05,0.957472E+00,0.502364E+05,0.222944E+01,0.000000E+00,0.446326E+00,0.825000E-02,0.149314E+06,0.403358E+00,0.100041E+06,0.495384E+01,0.000000E+00,
0.123000E+04,0.103228E+03,0.283805E+02,0.135366E+01,0.147709E+03,-.635753E+00,0.188335E+05,0.187062E+05,0.584878E+00,0.150000E-02,0.749795E+05,0.957470E+00,0.502362E+05,0.227444E+01,0.000000E+00,0.448738E+00,0.845625E-02,0.153049E+06,0.404030E+00,0.102543E+06,0.520453E+01,0.000000E+00,
0.126000E+04,0.104334E+03,0.285122E+02,0.135477E+01,0.147658E+03,-.642170E+00,0.183925E+05,0.182618E+05,0.585792E+00,0.150000E-02,0.749793E+05,0.957469E+00,0.502361E+05,0.231944E+01,0.000000E+00,0.450963E+00,0.866250E-02,0.156783E+06,0.404652E+00,0.105045E+06,0.546141E+01,0.000000E+00,
0.129000E+04,0.105413E+03,0.286442E+02,0.135604E+01,0.147600E+03,-.648629E+00,0.179733E+05,0.178391E+05,0.586834E+00,0.150000E-02,0.749791E+05,0.957468E+00,0.502360E+05,0.236444E+01,0.000000E+00,0.453056E+00,0.886875E-02,0.160518E+06,0.405227E+00,0.107547E+06,0.572447E+01,0.000000E+00,
0.132000E+04,0.106485E+03,0.287746E+02,0.135722E+01,0.147546E+03,-.654603E+00,0.175725E+05,0.174348E+05,0.587798E+00,0.150000E-02,0.749789E+05,0.957466E+00,0.502358E+05,0.240944E+01,0.000000E+00,0.454901E+00,0.907500E-02,0.164252E+06,0.405757E+00,0.110049E+06,0.599373E+01,0.000000E+00,
0.135000E+04,0.107573E+03,0.289039E+02,0.135840E+01,0.147493E+03,-.660605E+00,0.171897E+05,0.170485E+05,0.588771E+00,0.150000E-02,0.749787E+05,0.957465E+00,0.502357E+05,0.245444E+01,0.000000E+00,0.456551E+00,0.928125E-02,0.167987E+06,0.406243E+00,0.112551E+06,0.626917E+01,0.000000E+00,
0.138000E+04,0.108670E+03,0.290325E+02,0.135966E+01,0.147435E+03,-.666524E+00,0.168240E+05,0.166792E+05,0.589806E+00,0.150000E-02,0.749785E+05,0.957463E+00,0.502356E+05,0.249944E+01,0.000000E+00,0.458043E+00,0.948750E-02,0.171721E+06,0.406689E+00,0.115053E+06,0.655081E+01,0.000000E+00,
0.141000E+04,0.109772E+03,0.291604E+02,0.136099E+01,0.147375E+03,-.672330E+00,0.164742E+05,0.163258E+05,0.590901E+00,0.150000E-02,0.749783E+05,0.957462E+00,0.502354E+05,0.254444E+01,0.000000E+00,0.459377E+00,0.969375E-02,0.175456E+06,0.407096E+00,0.117556E+06,0.683863E+01,0.000000E+00,
0.144000E+04,0.110876E+03,0.292874E+02,0.136238E+01,0.147312E+03,-.678013E+00,0.161393E+05,0.159872E+05,0.592045E+00,0.150000E-02,0.749781E+05,0.957461E+00,0.502353E+05,0.258944E+01,0.000000E+00,0.460553E+00,0.990000E-02,0.179191E+06,0.407465E+00,0.120058E+06,0.713263E+01,0.000000E+00,
0.147000E+04,0.111981E+03,0.294135E+02,0.136382E+01,0.147246E+03,-.683573E+00,0.158184E+05,0.156626E+05,0.593231E+00,0.150000E-02,0.749779E+05,0.957459E+00,0.502352E+05,0.263444E+01,0.000000E+00,0.461570E+00,0.101062E-01,0.182926E+06,0.407799E+00,0.122560E+06,0.743283E+01,0.000000E+00,
0.150000E+04,0.113086E+03,0.295386E+02,0.136531E+01,0.147179E+03,-.689008E+00,0.155107E+05,0.153512E+05,0.594456E+00,0.150000E-02,0.749777E+05,0.957458E+00,0.502351E+05,0.267944E+01,0.000000E+00,0.462429E+00,0.103125E-01,0.186661E+06,0.408098E+00,0.125063E+06,0.773921E+01,0.000000E+00,
0.153000E+04,0.114239E+03,0.296598E+02,0.136820E+01,0.147047E+03,-.693044E+00,0.152157E+05,0.150524E+05,0.588398E+00,0.150000E-02,0.749775E+05,0.957457E+00,0.502349E+05,0.272444E+01,0.000000E+00,0.463858E+00,0.105187E-01,0.190396E+06,0.408364E+00,0.127566E+06,0.805178E+01,0.000000E+00,
0.156000E+04,0.115482E+03,0.297651E+02,0.137350E+01,0.146806E+03,-.694375E+00,0.149334E+05,0.147663E+05,0.580609E+00,0.150000E-02,0.749774E+05,0.957456E+00,0.502348E+05,0.276944E+01,0.000000E+00,0.466429E+00,0.107250E-01,0.194132E+06,0.408599E+00,0.130068E+06,0.837054E+01,0.000000E+00,
0.159000E+04,0.116772E+03,0.298514E+02,0.137988E+01,0.146515E+03,-.694051E+00,0.146632E+05,0.144922E+05,0.572586E+00,0.150000E-02,0.749772E+05,0.957455E+00,0.502347E+05,0.281444E+01,0.000000E+00,0.469466E+00,0.109312E-01,0.197867E+06,0.408804E+00,0.132571E+06,0.869548E+01,0.000000E+00,
0.162000E+04,0.118086E+03,0.299221E+02,0.138669E+01,0.146205E+03,-.692741E+00,0.144042E+05,0.142293E+05,0.564532E+00,0.150000E-02,0.749771E+05,0.957454E+00,0.502347E+05,0.285944E+01,0.000000E+00,0.472637E+00,0.111375E-01,0.201603E+06,0.408980E+00,0.135074E+06,0.902662E+01,0.000000E+00,
0.165000E+04,0.119411E+03,0.299815E+02,0.139363E+01,0.145890E+03,-.690864E+00,0.141556E+05,0.139767E+05,0.556565E+00,0.150000E-02,0.749770E+05,0.957453E+00,0.502346E+05,0.290444E+01,0.000000E+00,0.475782E+00,0.113437E-01,0.205340E+06,0.409129E+00,0.137578E+06,0.936394E+01,0.000000E+00,
0.168000E+04,0.120740E+03,0.300333E+02,0.140053E+01,0.145576E+03,-.688685E+00,0.139167E+05,0.137338E+05,0.548749E+00,0.150000E-02,0.749770E+05,0.957453E+00,0.502346E+05,0.294944E+01,0.000000E+00,0.478817E+00,0.115500E-01,0.209076E+06,0.409251E+00,0.140081E+06,0.970744E+01,0.000000E+00,
0.171000E+04,0.122069E+03,0.300800E+02,0.140734E+01,0.145266E+03,-.686365E+00,0.136870E+05,0.134999E+05,0.541115E+00,0.150000E-02,0.749769E+05,0.957452E+00,0.502345E+05,0.299444E+01,0.000000E+00,0.481705E+00,0.117562E-01,0.212813E+06,0.409348E+00,0.142584E+06,0.100571E+02,0.000000E+00,
0.174000E+04,0.123398E+03,0.301234E+02,0.141402E+01,0.144962E+03,-.683999E+00,0.134658E+05,0.132746E+05,0.533679E+00,0.150000E-02,0.749768E+05,0.957452E+00,0.502345E+05,0.303944E+01,0.000000E+00,0.484425E+00,0.119625E-01,0.216549E+06,0.409419E+00,0.145088E+06,0.104130E+02,0.000000E+00,
0.177000E+04,0.124725E+03,0.301647E+02,0.142056E+01,0.144664E+03,-.681642E+00,0.132528E+05,0.130574E+05,0.526443E+00,0.150000E-02,0.749768E+05,0.957451E+00,0.502344E+05,0.308444E+01,0.000000E+00,0.486971E+00,0.121687E-01,0.220286E+06,0.409466E+00,0.147592E+06,0.107751E+02,0.000000E+00,
0.180000E+04,0.126050E+03,0.302045E+02,0.142696E+01,0.144373E+03,-.679320E+00,0.130475E+05,0.128478E+05,0.519404E+00,0.150000E-02,0.749767E+05,0.957451E+00,0.502344E+05,0.312944E+01,0.000000E+00,0.489339E+00,0.123750E-01,0.224023E+06,0.409490E+00,0.150095E+06,0.111433E+02,0.000000E+00,
