Time,ULT_1,Pressure (not correct units),PRS_1
0,20,0,0
1,21.804,0.221650628,2216.506277
2,23.55333333,0.443301255,4433.012554
3,25.25044777,0.664951883,6649.518832
4,26.89764706,0.886602511,8866.025109
5,28.49710145,1.108253139,11082.53139
6,30.05085715,1.329903766,13299.03766
7,31.56084507,1.551554394,15515.54394
8,33.02888889,1.773205022,17732.05022
9,34.45671233,1.99485565,19948.5565
10,35.84594595,2.216506277,22165.06277
11,37.19813333,2.438156905,24381.56905
12,38.51473685,2.659807533,26598.07533
13,39.79714286,2.88145816,28814.5816
14,41.04666667,3.103108788,31031.08788
15,42.26455696,3.324759416,33247.59416
16,42.26455696,3.324759416,33247.59416
17,42.26455696,3.324759416,33247.59416
18,42.26455696,3.324759416,33247.59416
19,42.26455696,3.324759416,33247.59416
20,42.26455696,3.324759416,33247.59416
21,42.26455696,3.324759416,33247.59416
22,42.26455696,3.324759416,33247.59416
23,42.26455696,3.324759416,33247.59416
24,42.26455696,3.324759416,33247.59416
25,42.26455696,3.324759416,33247.59416
26,42.26455696,3.324759416,33247.59416
27,42.26455696,3.324759416,33247.59416
28,42.26455696,3.324759416,33247.59416
29,42.26455696,3.324759416,33247.59416
30,42.26455696,3.324759416,33247.59416
31,42.26455696,3.324759416,33247.59416
32,42.26455696,3.324759416,33247.59416
33,42.26455696,3.324759416,33247.59416
34,42.26455696,3.324759416,33247.59416
35,42.26455696,3.324759416,33247.59416
36,42.26455696,3.324759416,33247.59416
37,42.26455696,3.324759416,33247.59416
38,42.26455696,3.324759416,33247.59416
39,42.26455696,3.324759416,33247.59416
40,42.26455696,3.324759416,33247.59416
41,42.26455696,3.324759416,33247.59416
42,42.26455696,3.324759416,33247.59416
43,42.26455696,3.324759416,33247.59416
44,42.26455696,3.324759416,33247.59416
45,42.26455696,3.324759416,33247.59416
46,42.26455696,3.324759416,33247.59416
47,42.26455696,3.324759416,33247.59416
48,42.26455696,3.324759416,33247.59416
49,42.26455696,3.324759416,33247.59416
50,42.26455696,3.324759416,33247.59416
51,42.26455696,3.324759416,33247.59416
52,42.26455696,3.324759416,33247.59416
53,42.26455696,3.324759416,33247.59416
54,42.26455696,3.324759416,33247.59416
55,42.26455696,3.324759416,33247.59416
56,42.26455696,3.324759416,33247.59416
57,42.26455696,3.324759416,33247.59416
58,42.26455696,3.324759416,33247.59416
59,42.26455696,3.324759416,33247.59416
60,42.26455696,3.324759416,33247.59416
61,42.26455696,3.324759416,33247.59416
62,42.26455696,3.324759416,33247.59416
63,42.26455696,3.324759416,33247.59416
64,42.26455696,3.324759416,33247.59416
65,42.26455696,3.324759416,33247.59416
66,42.26455696,3.324759416,33247.59416
67,42.26455696,3.324759416,33247.59416
68,42.26455696,3.324759416,33247.59416
