X,INCIDENT HEAT FLUX (GAS),INCIDENT HEAT FLUX (WALL),Z,INCIDENT HEAT FLUX (GAS SIDE),INCIDENT HEAT FLUX (WALL SIDE),EMISSIVITY (TOP),HEMISPHERICAL ABSORPTIVITY (TOP),EMISSIVITY (SIDE),HEMISPHERICAL ABSORPTIVITY (SIDE)
0.09,24.03343,95.310227,0.125,24.62884,97.358315,0.424,0.332,0.434,0.339
0.27,28.32207,112.89325,0.375,28.97235,115.58498,0.500,0.393,0.511,0.403
0.46,29.98621,119.87744,0.625,30.44452,121.87835,0.529,0.418,0.537,0.425
0.64,30.84594,123.45403,0.875,31.14685,125.01582,0.544,0.430,0.549,0.436
0.82,31.22556,124.79395,1.125,31.47043,126.78243,0.551,0.435,0.555,0.442
1,31.35147,125.16314,1.375,31.66612,127.98907,0.553,0.436,0.558,0.446
1.18,31.22556,124.79395,1.625,31.75618,128.59384,0.551,0.435,0.560,0.448
1.36,30.84594,123.45403,1.875,31.79512,128.85125,0.544,0.430,0.561,0.449
1.55,29.98621,119.87744,2.125,31.79512,128.85125,0.529,0.418,0.561,0.449
1.73,28.32207,112.89325,2.375,31.75618,128.59384,0.500,0.393,0.560,0.448
1.91,24.03343,95.310227,2.625,31.66612,127.98907,0.424,0.332,0.558,0.446
,,,2.875,31.47043,126.78243,,,0.555,0.442
,,,3.125,31.14685,125.01582,,,0.549,0.436
,,,3.375,30.44452,121.87835,,,0.537,0.425
,,,3.625,28.97235,115.58498,,,0.511,0.403
,,,3.875,24.62884,97.358315,,,0.434,0.339
,,,,,,,,,
,,,,,,,,,
