Time,rod temp,plate temp,thin plate temp
0,2.00E+01,2.00E+01,2.00E+01
60.1,7.96E+01,5.13E+01,3.84E+02
120,1.35E+02,8.01E+01,4.84E+02
180,1.86E+02,1.08E+02,4.98E+02
300,2.76E+02,1.61E+02,5.00E+02
420,3.47E+02,2.10E+02,5.00E+02
540,4.00E+02,2.55E+02,5.00E+02
660,4.36E+02,2.96E+02,5.00E+02
840,4.69E+02,3.47E+02,5.00E+02
1020,4.85E+02,3.88E+02,5.00E+02
1200,4.93E+02,4.20E+02,5.00E+02
1500,4.98E+02,4.55E+02,5.00E+02
1800,4.99E+02,4.76E+02,5.00E+02
2100,5.00E+02,4.87E+02,5.00E+02
2400,5.00E+02,4.93E+02,5.00E+02
3000,5.00E+02,4.98E+02,5.00E+02
3300,5.00E+02,4.99E+02,5.00E+02
3600,5.00E+02,4.99E+02,5.00E+02
